"day","mod","dod","deaths","temp_min","temp_max","temp_mean","humidity","wind","NO","NO2","NOX","O3","CO","SO2","PM10","PM25"
2008-06-18,6,18,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00604166666666667,42.0833333333333,42.0833333333333
2008-06-19,6,19,234,NA,NA,NA,NA,NA,NA,NA,NA,0.02325,1.12083333333333,0.00075,NA,NA
2008-06-20,6,20,273,NA,NA,NA,NA,NA,0.019125,0.0220416666666667,0.0410833333333333,NA,NA,0.000833333333333333,49.4166666666667,49.4166666666667
2008-06-21,6,21,241,NA,NA,NA,NA,NA,0.015375,0.0145416666666667,0.029875,NA,NA,NA,45.625,45.625
2008-06-22,6,22,236,NA,NA,NA,NA,NA,0.00966666666666667,0.017125,0.0265416666666667,NA,NA,NA,NA,NA
2008-06-23,6,23,252,NA,NA,NA,NA,NA,0.0204166666666667,0.0218333333333333,0.0423333333333333,0.013625,1.20833333333333,0.001625,35,35
2008-06-24,6,24,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-25,6,25,262,NA,NA,NA,NA,NA,0.0122916666666667,0.0179166666666667,0.0300833333333333,0.0232916666666667,0.9,0.001375,NA,NA
2008-06-26,6,26,264,NA,NA,NA,NA,NA,NA,NA,NA,0.0242083333333333,0.870833333333333,0.00104166666666667,45.9166666666667,45.9166666666667
2008-06-27,6,27,254,NA,NA,NA,NA,NA,0.0199166666666667,0.017375,0.0370833333333333,0.0182916666666667,0.929166666666667,NA,43.0833333333333,43.0833333333333
2008-06-28,6,28,238,NA,NA,NA,NA,NA,NA,NA,NA,0.0185416666666667,0.908333333333333,NA,28.9166666666667,28.9166666666667
2008-06-29,6,29,236,NA,NA,NA,NA,NA,NA,NA,NA,0.0160416666666667,0.675,0.00529166666666667,NA,NA
2008-06-30,6,30,248,NA,NA,NA,NA,NA,0.0170416666666667,0.016375,0.0332083333333333,0.00820833333333333,1.03333333333333,NA,NA,NA
2008-07-01,7,1,240,NA,NA,NA,NA,NA,0.0232083333333333,0.021,0.0442083333333333,0.00554166666666667,1.39166666666667,0.00120833333333333,NA,NA
