"text","created","longitude","latitude","tag"
"RT @MarieClaire_it: Only silence in Paris #prayforparis #porteouverte  Ì†ΩÌµä @ Canal Saint-Martin https://t.co/SR2OuAUAB9",2015-11-14 09:56:21,NA,NA,"#PorteOuverte"
"Only silence in Paris #prayforparis #porteouverte  Ì†ΩÌµä @ Canal Saint-Martin https://t.co/SR2OuAUAB9",2015-11-14 09:55:12,2.363386,48.874892,"#PorteOuverte"
"#PeaceForParis #WorldPeace  #PorteOuverte #freedom #Love #Life @ Parigi https://t.co/ta2sDkiKtk",2015-11-14 09:46:57,2.3412,48.85693,"#PorteOuverte"
"#PorteOuverte

#parisattacks #prier  #prierpourParis 
#paris #france @‚Ä¶ https://t.co/Q9Eh3guyBq",2015-11-14 09:35:01,2.3508,48.8567,"#PorteOuverte"
"#parisattacks #noussommesunis #porteouverte #parisjetaime #france #parisinflames #woman #men #fashion‚Ä¶ https://t.co/329XwSF9r2",2015-11-14 09:28:20,2.3508,48.8567,"#PorteOuverte"
"RT @cbsbrito: #porteouverte #paris #solidarity #now @ Pont de l'Alma https://t.co/rMrMICWheI",2015-11-14 09:15:54,NA,NA,"#PorteOuverte"
"#NousSommesUnis¬†#PorteOuverte #prayforparis  Ì†ΩÌ≤îÌ†ΩÌ≤î @ Paris, France https://t.co/GuaH9Ul51C",2015-11-14 09:15:18,2.3508,48.8567,"#PorteOuverte"
"#porteouverte #paris #solidarity #now @ Pont de l'Alma https://t.co/rMrMICWheI",2015-11-14 09:15:02,2.30166667,48.86416667,"#PorteOuverte"
"RT @cbsbrito: #porteouverte #paris #solidarity #now @ TGV Lyria https://t.co/F0Bs8MsF2J",2015-11-14 09:10:18,NA,NA,"#PorteOuverte"
"#porteouverte #paris #solidarity #now @ TGV Lyria https://t.co/F0Bs8MsF2J",2015-11-14 09:09:33,2.38622,48.8524094,"#PorteOuverte"
"RT @chrimuraglia: You cannot ever kill the dream of a better world.
#prayforparis #porteouverte #paris Ì†ΩÌπè @ Paris, France https://t.co/xFRyr‚Ä¶",2015-11-14 09:09:21,NA,NA,"#PorteOuverte"
"You cannot ever kill the dream of a better world.
#prayforparis #porteouverte #paris Ì†ΩÌπè @ Paris, France https://t.co/xFRyrnO6EL",2015-11-14 09:07:40,2.3508,48.8567,"#PorteOuverte"
"#porteouverte #paris #solidarity #now @ Hotel Napoleon Avenue De Friedland Paris 08 https://t.co/pEMLoVGgy8",2015-11-14 08:43:29,2.2980399,48.8742485,"#PorteOuverte"
"RT @MBrancourt: #PorteOuverte  https://t.co/3VFqGFPQry",2015-11-14 08:25:26,NA,NA,"#PorteOuverte"
"#parisestanous #paris #porteouverte #merciparis @ Paris, France https://t.co/G2EtKYRKtL",2015-11-14 08:20:22,2.3508,48.8567,"#PorteOuverte"
