current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/10 12:59:19	-3.99262	-20.7482
2016/10/10 12:59:20	-1.29041	-21.1795
2016/10/10 12:59:21	-4.79035	-21.3007
2016/10/10 12:59:22	-3.11646	-21.4542
2016/10/10 12:59:23	-4.91035	-21.4883
2016/10/10 12:59:24	-5.87611	-21.3498
2016/10/10 12:59:25	0.0214145	-21.5232
2016/10/10 12:59:26	-0.623057	-21.6426
2016/10/10 12:59:27	-0.4687	-21.4534
2016/10/10 12:59:28	-0.808484	-21.5235
2016/10/10 12:59:29	-5.71712	-21.5838
2016/10/10 12:59:30	0.318589	-21.7296
2016/10/10 12:59:31	3.2625	-21.7725
2016/10/10 12:59:32	-7.20278	-21.9022
2016/10/10 12:59:33	2.23478	-21.8539
2016/10/10 12:59:34	0.63328	-21.9944
2016/10/10 12:59:35	-4.91842	-21.969
2016/10/10 12:59:36	1.79551	-22.176
2016/10/10 12:59:37	-0.138514	-22.0935
2016/10/10 12:59:38	-5.24978	-22.0635
2016/10/10 12:59:39	-1.51974	-22.2278
2016/10/10 12:59:40	-4.05044	-22.279
2016/10/10 12:59:41	-2.39658	-22.1603
2016/10/10 12:59:42	-0.323274	-22.3609
2016/10/10 12:59:43	-3.43649	-22.5625
2016/10/10 12:59:44	-3.84659	-22.3712
2016/10/10 12:59:45	-1.25376	-22.531
2016/10/10 12:59:46	-4.00223	-22.4719
2016/10/10 12:59:47	3.40701	-22.3154
2016/10/10 12:59:48	1.20003	-22.6184
2016/10/10 12:59:49	-1.44981	-22.5514
2016/10/10 12:59:50	4.48189	-22.6118
2016/10/10 12:59:51	-3.70067	-22.7193
2016/10/10 12:59:52	-5.15764	-22.6837
2016/10/10 12:59:53	0.643203	-22.631
2016/10/10 12:59:54	7.03877	-22.8814
2016/10/10 12:59:55	-2.79418	-22.8934
2016/10/10 12:59:56	1.34114	-22.404
2016/10/10 12:59:57	-0.0938627	-23.1436
2016/10/10 12:59:58	-2.68511	-23.1099
2016/10/10 12:59:59	-2.39794	-23.1429
2016/10/10 13:00:00	-0.667902	-23.0953
2016/10/10 13:00:01	-4.59411	-23.402
2016/10/10 13:00:02	-0.716124	-23.2406
2016/10/10 13:00:03	-3.76489	-23.141
2016/10/10 13:00:04	-1.75018	-23.316
2016/10/10 13:00:05	-9.07922	-23.3363
2016/10/10 13:00:06	-4.78229	-23.4498
2016/10/10 13:00:07	-1.63428	-23.4735
2016/10/10 13:00:08	-1.56879	-23.6042
2016/10/10 13:00:09	3.38976	-23.5598
2016/10/10 13:00:10	-0.199044	-23.3432
2016/10/10 13:00:11	2.41527	-23.7617
2016/10/10 13:00:12	0.0886726	-23.7448
2016/10/10 13:00:13	-4.62025	-23.6737
2016/10/10 13:00:14	-3.49812	-23.2233
2016/10/10 13:00:15	-4.41261	-22.8136
2016/10/10 13:00:16	-3.44722	-24.0182
2016/10/10 13:00:17	-3.80898	-24.071
2016/10/10 13:00:18	-5.58821	-24.1182
2016/10/10 13:00:19	-4.89675	-24.0192
2016/10/10 13:00:20	-5.62862	-24.2319
2016/10/10 13:00:21	-3.49477	-24.1969
2016/10/10 13:00:22	-9.14364	-24.2885
2016/10/10 13:00:23	-3.67092	-24.2044
2016/10/10 13:00:24	-1.72995	-24.2184
2016/10/10 13:00:25	0.290132	-24.4024
2016/10/10 13:00:26	0.614899	-24.496
2016/10/10 13:00:27	-0.292756	-24.5604
2016/10/10 13:00:28	-3.33859	-24.5516
2016/10/10 13:00:29	-7.87613	-24.6436
2016/10/10 13:00:30	1.84024	-24.4531
2016/10/10 13:00:31	-3.19633	-24.7762
2016/10/10 13:00:32	-5.92625	-24.6737
2016/10/10 13:00:33	-2.94865	-24.7448
2016/10/10 13:00:34	-1.78794	-24.806
2016/10/10 13:00:35	-3.05351	-24.9569
2016/10/10 13:00:36	-1.45189	-24.9345
2016/10/10 13:00:37	-0.273116	-24.9606
2016/10/10 13:00:38	1.27382	-24.9118
2016/10/10 13:00:39	-1.40288	-25.0372
2016/10/10 13:00:40	-6.32567	-25.135
2016/10/10 13:00:41	-10.7426	-25.0637
2016/10/10 13:00:42	-2.06286	-25.1145
2016/10/10 13:00:43	-2.7293	-25.3763
2016/10/10 13:00:44	-2.28198	-25.4071
2016/10/10 13:00:45	-5.04949	-25.3293
2016/10/10 13:00:46	-3.56115	-25.2089
2016/10/10 13:00:47	-0.588925	-25.4483
2016/10/10 13:00:48	0.721193	-25.5031
2016/10/10 13:00:49	-6.10785	-25.6307
2016/10/10 13:00:50	-0.337281	-25.538
2016/10/10 13:00:51	-3.82697	-25.6664
2016/10/10 13:00:52	-4.83277	-25.7327
2016/10/10 13:00:53	2.17315	-25.666
2016/10/10 13:00:54	3.18932	-25.8168
2016/10/10 13:00:55	-2.56696	-25.8509
2016/10/10 13:00:56	2.82567	-25.8571
2016/10/10 13:00:57	-3.08296	-26.0175
2016/10/10 13:00:58	-0.316296	-25.9797
2016/10/10 13:00:59	-0.156568	-26.1449
2016/10/10 13:01:00	-1.72243	-26.0564
2016/10/10 13:01:01	-1.40743	-25.8483
2016/10/10 13:01:02	0.469099	-26.1578
2016/10/10 13:01:03	-2.04793	-26.303
2016/10/10 13:01:04	-3.47023	-26.0616
2016/10/10 13:01:05	-8.67281	-26.371
2016/10/10 13:01:06	3.67979	-26.3891
2016/10/10 13:01:07	-1.78402	-26.5205
2016/10/10 13:01:08	-2.2073	-26.5257
2016/10/10 13:01:09	1.97635	-26.5333
2016/10/10 13:01:10	0.80112	-26.7811
2016/10/10 13:01:11	0.216706	-26.694
2016/10/10 13:01:12	-3.9761	-26.797
2016/10/10 13:01:13	-1.36716	-26.5356
2016/10/10 13:01:14	-0.391513	-26.8037
2016/10/10 13:01:15	-0.464207	-26.8754
2016/10/10 13:01:16	-1.56815	-26.8762
2016/10/10 13:01:17	0.616478	-27.0826
2016/10/10 13:01:18	-0.340981	-26.9897
2016/10/10 13:01:19	0.331442	-26.9765
2016/10/10 13:01:20	-0.804241	-27.0553
2016/10/10 13:01:21	0.255389	-27.1014
2016/10/10 13:01:22	0.582597	-27.2883
2016/10/10 13:01:23	0.193986	-27.2161
2016/10/10 13:01:24	0.495314	-27.3135
2016/10/10 13:01:25	-0.822985	-27.3272
2016/10/10 13:01:26	-0.0221442	-27.3318
2016/10/10 13:01:27	1.56043	-27.4497
2016/10/10 13:01:28	-2.1607	-27.4886
2016/10/10 13:01:29	-3.16943	-27.6483
2016/10/10 13:01:30	-0.246027	-27.5133
2016/10/10 13:01:31	-0.306025	-27.5596
2016/10/10 13:01:32	1.63983	-27.7013
2016/10/10 13:01:33	1.49097	-27.6789
2016/10/10 13:01:34	0.301087	-27.8659
2016/10/10 13:01:35	-1.14856	-27.8285
2016/10/10 13:01:36	-4.2193	-28.0502
2016/10/10 13:01:37	-9.15723	-27.9354
2016/10/10 13:01:38	2.12799	-27.9484
2016/10/10 13:01:39	-4.32899	-27.9636
2016/10/10 13:01:40	3.25457	-28.1097
2016/10/10 13:01:41	-1.97291	-27.9941
2016/10/10 13:01:42	-3.36543	-28.0677
2016/10/10 13:01:43	-5.31312	-28.103
2016/10/10 13:01:44	-9.68562	-28.159
2016/10/10 13:01:45	6.22801	-28.3688
2016/10/10 13:01:46	-4.63618	-28.4419
2016/10/10 13:01:47	-0.110735	-28.4415
2016/10/10 13:01:48	0.707685	-28.4099
2016/10/10 13:01:49	-1.14919	-28.6786
2016/10/10 13:01:50	-2.82784	-28.5994
2016/10/10 13:01:51	-3.23061	-28.6121
2016/10/10 13:01:52	-1.8619	-28.2004
2016/10/10 13:01:53	-3.26711	-28.6537
2016/10/10 13:01:54	-3.61813	-28.7833
2016/10/10 13:01:55	1.87461	-28.7957
2016/10/10 13:01:56	-5.63266	-28.8592
2016/10/10 13:01:57	-10.7454	-28.7879
2016/10/10 13:01:58	-8.22287	-28.987
2016/10/10 13:01:59	-1.68814	-29.1046
2016/10/10 13:02:00	-1.23642	-29.1204
2016/10/10 13:02:01	-1.53617	-29.0331
2016/10/10 13:02:02	-3.14451	-29.1873
2016/10/10 13:02:03	0.662681	-29.2546
2016/10/10 13:02:04	4.92397	-29.2583
2016/10/10 13:02:05	1.18819	-29.3376
2016/10/10 13:02:06	-1.86888	-29.293
2016/10/10 13:02:07	-0.455732	-29.2149
2016/10/10 13:02:08	-3.75059	-29.4776
2016/10/10 13:02:09	-0.923386	-29.4041
2016/10/10 13:02:10	-0.789537	-29.4548
2016/10/10 13:02:11	-2.49163	-29.4111
2016/10/10 13:02:12	3.28138	-29.5222
2016/10/10 13:02:13	-1.38409	-29.6333
2016/10/10 13:02:14	-2.66625	-29.7558
2016/10/10 13:02:15	-0.192071	-29.8396
2016/10/10 13:02:16	-4.91857	-29.935
2016/10/10 13:02:17	-1.62017	-29.8737
2016/10/10 13:02:18	0.930178	-29.7667
2016/10/10 13:02:19	-0.926696	-30.0192
2016/10/10 13:02:20	2.45911	-29.9226
2016/10/10 13:02:21	-0.636049	-30.1055
2016/10/10 13:02:22	-0.910892	-30.1317
2016/10/10 13:02:23	-2.00702	-30.1183
2016/10/10 13:02:24	1.83825	-30.1327
2016/10/10 13:02:25	0.951592	-30.287
2016/10/10 13:02:26	-6.24757	-30.2139
2016/10/10 13:02:27	-2.64057	-30.5466
2016/10/10 13:02:28	-2.63465	-30.4064
2016/10/10 13:02:29	0.0905031	-30.5681
2016/10/10 13:02:30	-1.93922	-30.5783
2016/10/10 13:02:31	0.519822	-30.3934
2016/10/10 13:02:32	-5.74281	-30.6798
2016/10/10 13:02:33	0.0399604	-30.5704
2016/10/10 13:02:34	0.661602	-30.5753
2016/10/10 13:02:35	0.0317789	-30.8804
2016/10/10 13:02:36	-8.75918	-30.9415
2016/10/10 13:02:37	0.0724258	-30.7497
2016/10/10 13:02:38	3.21116	-30.9141
2016/10/10 13:02:39	6.60966	-30.9923
2016/10/10 13:02:40	5.46421	-31.0917
2016/10/10 13:02:41	0.166903	-31.2493
2016/10/10 13:02:42	0.457001	-31.2879
2016/10/10 13:02:43	-0.924286	-31.1667
2016/10/10 13:02:44	0.907804	-31.2128
2016/10/10 13:02:45	-0.583347	-31.1884
2016/10/10 13:02:46	-5.84256	-31.2459
2016/10/10 13:02:47	-2.9636	-31.4003
2016/10/10 13:02:48	-2.54069	-31.4321
2016/10/10 13:02:49	-1.4669	-31.594
2016/10/10 13:02:50	-2.46586	-31.5517
2016/10/10 13:02:51	-8.88816	-31.7797
2016/10/10 13:02:52	-2.21232	-31.6473
2016/10/10 13:02:53	1.39809	-31.6041
2016/10/10 13:02:54	1.61055	-31.5064
2016/10/10 13:02:55	-4.75755	-31.6539
2016/10/10 13:02:56	-1.78386	-31.7099
2016/10/10 13:02:57	-8.16076	-31.7586
2016/10/10 13:02:58	-3.64019	-31.8327
2016/10/10 13:02:59	-5.21093	-31.4864
2016/10/10 13:03:00	-6.09563	-32.0188
2016/10/10 13:03:01	-4.61559	-32.0261
2016/10/10 13:03:02	4.37079	-32.2102
2016/10/10 13:03:03	-0.612057	-32.0983
2016/10/10 13:03:04	-5.80731	-32.2558
2016/10/10 13:03:05	-1.91077	-32.3179
2016/10/10 13:03:06	-1.42731	-32.2751
2016/10/10 13:03:07	-1.53565	-32.3988
2016/10/10 13:03:08	-4.07416	-32.3692
2016/10/10 13:03:09	-1.72303	-32.5776
2016/10/10 13:03:10	1.89178	-32.5433
2016/10/10 13:03:11	2.15014	-32.5554
2016/10/10 13:03:12	-3.28144	-32.7354
2016/10/10 13:03:13	-3.76185	-32.7182
2016/10/10 13:03:14	-2.50007	-32.7005
2016/10/10 13:03:15	2.87157	-32.5449
2016/10/10 13:03:16	1.59184	-32.7523
2016/10/10 13:03:17	2.14757	-32.7635
2016/10/10 13:03:18	0.117842	-32.6991
2016/10/10 13:03:19	0.122784	-33.0421
2016/10/10 13:03:20	-1.85421	-33.101
