current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/16 12:14:53	0.649611	1.50749
2016/10/16 12:14:54	1.81339	1.47387
2016/10/16 12:14:55	1.92054	1.51517
2016/10/16 12:14:56	1.26682	1.41483
2016/10/16 12:14:57	1.24523	1.5266
2016/10/16 12:14:58	0.778891	1.57928
2016/10/16 12:14:59	1.16252	1.44446
2016/10/16 12:15:00	-0.0387455	1.44093
2016/10/16 12:15:01	0.792457	1.50216
2016/10/16 12:15:02	2.06415	1.60712
2016/10/16 12:15:03	0.859464	1.95637
2016/10/16 12:15:04	2.00433	1.58284
2016/10/16 12:15:05	1.33956	1.45135
2016/10/16 12:15:06	0.923385	1.46912
2016/10/16 12:15:07	0.969553	1.52186
2016/10/16 12:15:08	2.57853	1.47295
2016/10/16 12:15:09	0.613953	1.42944
2016/10/16 12:15:10	-0.139134	1.45975
2016/10/16 12:15:11	1.23705	1.48888
2016/10/16 12:15:12	0.242083	1.47771
2016/10/16 12:15:13	1.23442	1.47186
2016/10/16 12:15:14	1.42219	1.49363
2016/10/16 12:15:15	1.512	1.4236
2016/10/16 12:15:16	1.48883	1.39047
2016/10/16 12:15:17	1.29482	1.44074
2016/10/16 12:15:18	1.95147	1.42579
2016/10/16 12:15:19	0.747208	1.53896
2016/10/16 12:15:20	0.706645	1.52579
2016/10/16 12:15:21	0.815802	1.36451
2016/10/16 12:15:22	1.96311	1.47551
2016/10/16 12:15:23	-0.184024	1.4602
2016/10/16 12:15:24	-1.03849	1.56809
2016/10/16 12:15:25	0.682971	1.5327
2016/10/16 12:15:26	1.49556	1.56911
2016/10/16 12:15:27	1.20048	1.42019
2016/10/16 12:15:28	0.451115	1.46644
2016/10/16 12:15:29	1.32089	1.53834
2016/10/16 12:15:30	1.62005	1.47732
2016/10/16 12:15:31	1.95235	1.42481
2016/10/16 12:15:32	0.372727	1.36274
2016/10/16 12:15:33	0.72987	1.48433
2016/10/16 12:15:34	1.28727	1.41488
2016/10/16 12:15:35	0.696291	1.4289
2016/10/16 12:15:36	1.14596	1.35173
2016/10/16 12:15:37	2.77679	1.41958
2016/10/16 12:15:38	1.5519	1.38718
2016/10/16 12:15:39	2.11607	1.36994
2016/10/16 12:15:40	1.44221	1.472
2016/10/16 12:15:41	0.796361	1.62225
2016/10/16 12:15:42	1.79095	1.37995
2016/10/16 12:15:43	2.29232	1.38295
2016/10/16 12:15:44	2.57964	1.43108
2016/10/16 12:15:45	2.36525	1.60904
2016/10/16 12:15:46	1.09453	1.38294
2016/10/16 12:15:47	2.55939	1.34193
2016/10/16 12:15:48	1.16135	1.35711
2016/10/16 12:15:49	1.78754	1.59525
2016/10/16 12:15:50	1.71725	1.41776
2016/10/16 12:15:51	1.42858	1.46456
2016/10/16 12:15:52	0.874954	1.17633
2016/10/16 12:15:53	1.01957	1.4181
2016/10/16 12:15:54	1.16572	1.58485
2016/10/16 12:15:55	0.444368	1.43584
2016/10/16 12:15:56	0.278805	1.40643
2016/10/16 12:15:57	1.27279	1.45521
2016/10/16 12:15:58	1.37529	1.56178
2016/10/16 12:15:59	1.19606	1.42288
2016/10/16 12:16:00	1.83762	1.45569
2016/10/16 12:16:01	2.23822	1.50944
2016/10/16 12:16:02	1.35587	1.26281
2016/10/16 12:16:03	0.951167	1.37292
2016/10/16 12:16:04	3.38137	1.29767
2016/10/16 12:16:05	1.01012	1.44621
2016/10/16 12:16:06	1.9814	1.40408
2016/10/16 12:16:07	2.57957	1.28272
2016/10/16 12:16:08	1.83277	1.30967
2016/10/16 12:16:09	2.01608	1.28334
2016/10/16 12:16:10	1.74236	1.26937
2016/10/16 12:16:11	1.70076	1.34241
2016/10/16 12:16:12	1.04143	1.36522
2016/10/16 12:16:13	1.53871	1.42876
2016/10/16 12:16:14	0.917943	1.25067
2016/10/16 12:16:15	0.829773	1.34812
2016/10/16 12:16:16	0.682582	1.35759
2016/10/16 12:16:17	2.00494	1.28481
2016/10/16 12:16:18	1.18178	1.39154
2016/10/16 12:16:19	1.45976	1.47279
2016/10/16 12:16:20	2.37757	1.37142
2016/10/16 12:16:21	2.25962	1.35516
2016/10/16 12:16:22	1.07501	1.36506
2016/10/16 12:16:23	1.50063	1.38374
2016/10/16 12:16:24	2.8803	1.32439
2016/10/16 12:16:25	0.266861	1.29892
2016/10/16 12:16:26	1.30497	1.27119
2016/10/16 12:16:27	1.56898	1.33666
2016/10/16 12:16:28	1.56589	1.36398
2016/10/16 12:16:29	0.992733	1.43927
2016/10/16 12:16:30	1.75112	1.22819
2016/10/16 12:16:31	0.524157	1.2763
2016/10/16 12:16:32	0.850111	1.3537
2016/10/16 12:16:33	1.12479	1.36094
2016/10/16 12:16:34	2.14807	1.4008
2016/10/16 12:16:35	1.61642	1.32537
2016/10/16 12:16:36	2.21258	1.45703
2016/10/16 12:16:37	1.71566	1.25361
2016/10/16 12:16:38	1.16942	1.27233
2016/10/16 12:16:39	1.95674	1.31766
2016/10/16 12:16:40	0.677344	1.29822
2016/10/16 12:16:41	1.72864	1.38582
2016/10/16 12:16:42	-0.282016	1.30251
2016/10/16 12:16:43	0.449272	1.29297
2016/10/16 12:16:44	1.9308	1.42582
2016/10/16 12:16:45	2.27727	1.28008
2016/10/16 12:16:46	1.39008	1.45315
2016/10/16 12:16:47	2.89292	1.5748
2016/10/16 12:16:48	1.20026	1.40642
2016/10/16 12:16:49	1.73251	1.35845
2016/10/16 12:16:50	4.05047	1.36124
2016/10/16 12:16:51	0.966996	1.28751
2016/10/16 12:16:52	1.90782	1.23665
2016/10/16 12:16:53	0.600898	1.31713
2016/10/16 12:16:54	2.02976	1.3964
2016/10/16 12:16:55	1.68823	1.3917
2016/10/16 12:16:56	1.07851	1.37426
2016/10/16 12:16:57	1.1859	1.33502
2016/10/16 12:16:58	1.22737	2.68244
2016/10/16 12:16:59	-0.19753	5.09892
2016/10/16 12:17:00	1.88538	3.2897
2016/10/16 12:17:01	1.77811	1.35526
2016/10/16 12:17:02	1.60742	1.26792
2016/10/16 12:17:03	1.44472	1.19982
2016/10/16 12:17:04	1.68895	1.21899
2016/10/16 12:17:05	1.15846	1.26185
2016/10/16 12:17:06	2.62113	1.15785
2016/10/16 12:17:07	0.95319	1.3182
2016/10/16 12:17:08	1.42892	1.38519
2016/10/16 12:17:09	2.94677	1.44196
2016/10/16 12:17:10	0.85439	1.32597
2016/10/16 12:17:11	0.0189058	1.18994
2016/10/16 12:17:12	0.333263	1.18537
2016/10/16 12:17:13	2.18156	1.26515
2016/10/16 12:17:14	1.38184	1.30172
2016/10/16 12:17:15	0.968167	1.20694
2016/10/16 12:17:16	2.02837	1.30143
2016/10/16 12:17:17	1.40261	1.25166
2016/10/16 12:17:18	2.41618	1.51641
2016/10/16 12:17:19	1.47254	1.29114
2016/10/16 12:17:20	1.21006	1.3206
2016/10/16 12:17:21	0.536255	1.308
2016/10/16 12:17:22	1.22311	1.26495
2016/10/16 12:17:23	1.22686	1.28324
2016/10/16 12:17:24	2.82753	1.28505
2016/10/16 12:17:25	1.98228	1.27944
2016/10/16 12:17:26	1.81013	1.20328
2016/10/16 12:17:27	0.686007	1.39066
2016/10/16 12:17:28	1.33435	1.3195
2016/10/16 12:17:29	-0.00394366	1.3009
2016/10/16 12:17:30	2.37438	1.49146
2016/10/16 12:17:31	3.18849	1.22071
2016/10/16 12:17:32	2.45811	1.34197
2016/10/16 12:17:33	0.633794	1.12948
2016/10/16 12:17:34	1.67691	1.33872
2016/10/16 12:17:35	0.642879	1.3903
2016/10/16 12:17:36	2.78792	1.34698
2016/10/16 12:17:37	1.73839	1.44055
2016/10/16 12:17:38	1.87697	1.30949
2016/10/16 12:17:39	1.66612	1.25515
2016/10/16 12:17:40	2.72394	1.34811
2016/10/16 12:17:41	0.993987	1.22797
2016/10/16 12:17:42	-0.420844	1.29976
2016/10/16 12:17:43	1.27584	1.37823
2016/10/16 12:17:44	1.77068	1.20587
2016/10/16 12:17:45	1.57649	1.25626
2016/10/16 12:17:46	2.27952	1.2874
2016/10/16 12:17:47	1.55304	1.30316
2016/10/16 12:17:48	1.63931	1.15018
2016/10/16 12:17:49	0.896903	1.27339
2016/10/16 12:17:50	1.28285	1.27626
2016/10/16 12:17:51	0.370466	1.32028
2016/10/16 12:17:52	2.64051	1.46689
2016/10/16 12:17:53	1.91837	1.37062
2016/10/16 12:17:54	0.19049	1.56844
2016/10/16 12:17:55	1.2106	1.28964
2016/10/16 12:17:56	2.34978	1.29402
2016/10/16 12:17:57	1.87923	1.3344
2016/10/16 12:17:58	1.80265	1.33822
