current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/12 14:16:45	-2.75807	-0.551115
2016/10/12 14:16:46	-0.582221	-0.515106
2016/10/12 14:16:47	-2.02404	-0.791027
2016/10/12 14:16:48	-0.392385	-0.745358
2016/10/12 14:16:49	-1.74266	-0.80237
2016/10/12 14:16:50	-0.771458	-0.792581
2016/10/12 14:16:51	-0.437949	-0.755023
2016/10/12 14:16:52	-2.68416	-0.754394
2016/10/12 14:16:53	-1.9842	-0.852915
2016/10/12 14:16:54	-1.05743	-0.813226
2016/10/12 14:16:55	-2.98291	-0.265257
2016/10/12 14:16:56	-1.65539	-0.752298
2016/10/12 14:16:57	-0.13499	-0.731559
2016/10/12 14:16:58	-0.142981	-0.55893
2016/10/12 14:16:59	-2.11447	-0.799782
2016/10/12 14:17:00	-1.86495	-0.839803
2016/10/12 14:17:01	-2.24239	-0.769254
2016/10/12 14:17:02	-0.738348	-0.868906
2016/10/12 14:17:03	-2.5769	-0.775617
2016/10/12 14:17:04	-1.36205	-0.887328
2016/10/12 14:17:05	-1.26957	-0.762939
2016/10/12 14:17:06	-1.09995	-0.7957
2016/10/12 14:17:07	-1.76401	-0.830162
2016/10/12 14:17:08	-1.08078	-0.774203
2016/10/12 14:17:09	-1.58052	-0.563644
2016/10/12 14:17:10	-0.0686712	-0.835405
2016/10/12 14:17:11	-2.13763	-0.746396
2016/10/12 14:17:12	-2.62987	-0.817427
2016/10/12 14:17:13	-1.38006	-0.775959
2016/10/12 14:17:14	-1.6074	-0.83835
2016/10/12 14:17:15	-2.88803	-0.656962
2016/10/12 14:17:16	-1.03311	-0.825703
2016/10/12 14:17:17	-0.702233	-0.731594
2016/10/12 14:17:18	-2.23255	-0.379375
2016/10/12 14:17:19	-1.72968	-0.799576
2016/10/12 14:17:20	-1.28448	-0.694697
2016/10/12 14:17:21	-1.64062	-0.807348
2016/10/12 14:17:22	-1.59025	-0.726179
2016/10/12 14:17:23	-2.37278	-0.781641
2016/10/12 14:17:24	-0.406644	-0.695162
2016/10/12 14:17:25	-1.8937	-0.803753
2016/10/12 14:17:26	0.260913	-0.775595
2016/10/12 14:17:27	-1.90272	-0.842716
2016/10/12 14:17:28	0.66785	-0.711957
2016/10/12 14:17:29	-2.7719	-0.767718
2016/10/12 14:17:30	-1.19822	-0.754669
2016/10/12 14:17:31	0.629964	-0.748641
2016/10/12 14:17:32	-1.39261	-0.711872
2016/10/12 14:17:33	-2.40658	-0.825283
2016/10/12 14:17:34	-3.65498	-0.862074
2016/10/12 14:17:35	-0.966251	-0.812215
2016/10/12 14:17:36	-0.993655	-0.909846
2016/10/12 14:17:37	-0.545526	-0.908548
2016/10/12 14:17:38	-1.73284	-0.824239
2016/10/12 14:17:39	-0.356669	-0.740661
2016/10/12 14:17:40	-0.95835	-0.878612
2016/10/12 14:17:41	-3.58468	-0.849903
2016/10/12 14:17:42	0.646467	-0.806394
2016/10/12 14:17:43	0.908374	-0.699925
2016/10/12 14:17:44	-2.48981	-0.840806
2016/10/12 14:17:45	-0.584039	-0.808497
2016/10/12 14:17:46	-3.37114	-0.814788
2016/10/12 14:17:47	-0.465012	-0.83626
2016/10/12 14:17:48	-1.67886	-0.797321
2016/10/12 14:17:49	-1.93569	-0.853973
2016/10/12 14:17:50	-0.772058	-0.782084
2016/10/12 14:17:51	-0.332169	-0.716055
2016/10/12 14:17:52	-2.05182	-0.797786
2016/10/12 14:17:53	-0.457882	-0.845347
2016/10/12 14:17:54	-2.48992	-0.864518
2016/10/12 14:17:55	-3.10996	-0.83963
2016/10/12 14:17:56	0.164024	-0.834721
2016/10/12 14:17:57	-2.77457	-0.841902
2016/10/12 14:17:58	-1.18563	-0.872433
2016/10/12 14:17:59	-0.924942	-0.793094
2016/10/12 14:18:00	-2.05133	-0.824845
2016/10/12 14:18:01	-2.58593	-0.807187
2016/10/12 14:18:02	-2.08343	-0.709598
2016/10/12 14:18:03	-2.5302	-0.82219
2016/10/12 14:18:04	-2.29655	-0.806481
2016/10/12 14:18:05	-2.1456	-0.446322
2016/10/12 14:18:06	-2.46419	-0.802263
2016/10/12 14:18:07	-2.01753	-0.954704
2016/10/12 14:18:08	-1.89882	-0.705625
2016/10/12 14:18:09	-0.919188	-0.648296
2016/10/12 14:18:10	-1.27166	-0.875817
2016/10/12 14:18:11	-1.17632	-0.710659
2016/10/12 14:18:12	-1.71415	-0.95832
2016/10/12 14:18:13	-1.62961	-0.947562
2016/10/12 14:18:14	-1.793	-0.709903
2016/10/12 14:18:15	-1.92159	-0.825204
2016/10/12 14:18:16	-2.45625	-0.726455
2016/10/12 14:18:17	-3.0401	-0.750396
2016/10/12 14:18:18	-3.39825	-0.836127
2016/10/12 14:18:19	-1.82861	-0.751389
2016/10/12 14:18:20	-1.8781	-0.74951
2016/10/12 14:18:21	-1.67881	-0.500651
2016/10/12 14:18:22	-1.58304	-0.725782
2016/10/12 14:18:23	-1.67855	-0.953273
2016/10/12 14:18:24	-1.49031	-0.850524
2016/10/12 14:18:25	-2.64253	-0.893146
2016/10/12 14:18:26	-1.95856	-0.886008
2016/10/12 14:18:27	-1.39794	-0.836029
