current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/26 10:40:38	-3.42074	-19.9819
2016/10/26 10:40:39	-2.36596	-19.959
2016/10/26 10:40:40	-3.821	-19.8772
2016/10/26 10:40:41	-3.86521	-19.6022
2016/10/26 10:40:42	-4.99933	-19.8279
2016/10/26 10:40:43	-3.34066	-19.8004
2016/10/26 10:40:44	-3.70055	-19.62
2016/10/26 10:40:45	-3.4781	-15.9162
2016/10/26 10:40:46	-3.37528	-19.5194
2016/10/26 10:40:47	-3.03015	-19.3709
2016/10/26 10:40:48	-3.76534	-19.4488
2016/10/26 10:40:49	-2.40636	-19.2391
2016/10/26 10:40:50	-3.52534	-19.2947
2016/10/26 10:40:51	-2.52866	-19.3886
2016/10/26 10:40:52	-3.58215	-19.3157
2016/10/26 10:40:53	-3.31697	-19.3264
2016/10/26 10:40:54	-3.53117	-19.1745
2016/10/26 10:40:55	-4.02619	-19.1504
2016/10/26 10:40:56	-3.27335	-19.1246
2016/10/26 10:40:57	-2.68505	-19.009
2016/10/26 10:40:58	-3.44197	-18.9792
2016/10/26 10:40:59	-3.01402	-18.8994
2016/10/26 10:41:00	-2.94904	-18.8022
2016/10/26 10:41:01	-3.66635	-18.8949
2016/10/26 10:41:02	-3.14001	-18.8397
2016/10/26 10:41:03	-2.56148	-18.8273
2016/10/26 10:41:04	-3.44907	-18.6766
2016/10/26 10:41:05	-3.01673	-18.445
2016/10/26 10:41:06	-2.27493	-18.5468
2016/10/26 10:41:07	-2.63817	-18.3523
2016/10/26 10:41:08	-2.64674	-18.4964
2016/10/26 10:41:09	-3.18876	-18.409
2016/10/26 10:41:10	-2.97302	-18.3885
2016/10/26 10:41:11	-3.33059	-18.3892
2016/10/26 10:41:12	-2.42229	-18.3861
2016/10/26 10:41:13	-2.84004	-18.3355
2016/10/26 10:41:14	-3.04923	-18.2642
2016/10/26 10:41:15	-2.81799	-17.8751
2016/10/26 10:41:16	-1.81411	-18.1387
2016/10/26 10:41:17	-2.51891	-18.0918
2016/10/26 10:41:18	-2.53901	-18.2482
2016/10/26 10:41:19	-1.94394	-17.9735
2016/10/26 10:41:20	-2.43005	-17.5503
2016/10/26 10:41:21	-3.60482	-17.9207
2016/10/26 10:41:22	-2.36766	-17.8976
2016/10/26 10:41:23	-1.94025	-17.8196
2016/10/26 10:41:24	-3.83853	-17.7489
2016/10/26 10:41:25	-2.86932	-17.7358
2016/10/26 10:41:26	-1.47804	-17.5139
2016/10/26 10:41:27	-2.26908	-17.3496
2016/10/26 10:41:28	-3.18525	-17.5661
2016/10/26 10:41:29	-2.07998	-17.5487
2016/10/26 10:41:30	-4.0805	-17.2292
2016/10/26 10:41:31	-1.73164	-17.4802
2016/10/26 10:41:32	-2.09159	-17.3727
2016/10/26 10:41:33	-2.422	-17.3754
2016/10/26 10:41:34	-2.10501	-17.3584
2016/10/26 10:41:35	-2.60082	-17.2388
2016/10/26 10:41:36	-2.09645	-17.1346
2016/10/26 10:41:37	-2.36985	-17.1652
2016/10/26 10:41:38	-2.46173	-16.9164
2016/10/26 10:41:39	-2.4728	-17.1792
2016/10/26 10:41:40	-3.28197	-17.0037
2016/10/26 10:41:41	-2.21821	-17.0714
2016/10/26 10:41:42	-2.15268	-16.9157
2016/10/26 10:41:43	-1.01654	-16.8918
2016/10/26 10:41:44	-1.70791	-16.8312
2016/10/26 10:41:45	-1.56254	-16.242
2016/10/26 10:41:46	-2.28913	-16.8655
2016/10/26 10:41:47	-1.92771	-16.6222
2016/10/26 10:41:48	-2.29949	-16.7737
2016/10/26 10:41:49	-3.06978	-16.5832
2016/10/26 10:41:50	-1.96007	-12.9961
2016/10/26 10:41:51	-2.20612	-16.5319
2016/10/26 10:41:52	-3.31644	-16.1732
2016/10/26 10:41:53	-2.73113	-16.4962
2016/10/26 10:41:54	-2.64015	-16.4063
2016/10/26 10:41:55	-1.91001	-16.3587
2016/10/26 10:41:56	-1.84619	-13.5571
2016/10/26 10:41:57	-3.47268	-16.3006
