current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/31 15:51:44	0.970451	0.162774
2016/10/31 15:51:45	1.04002	-0.194404
2016/10/31 15:51:46	0.231296	-0.19001
2016/10/31 15:51:47	-0.0111455	0.272224
2016/10/31 15:51:48	0.816603	-0.0594868
2016/10/31 15:51:49	1.17987	0.0766214
2016/10/31 15:51:50	0.461786	-0.216393
2016/10/31 15:51:51	0.371078	-0.150612
2016/10/31 15:51:52	1.05356	0.114967
2016/10/31 15:51:53	1.00198	-0.0194781
2016/10/31 15:51:54	0.180131	-0.116204
2016/10/31 15:51:55	-0.0883115	0.359748
2016/10/31 15:51:56	0.887691	0.349204
2016/10/31 15:51:57	0.758165	0.0209875
2016/10/31 15:51:58	1.02366	-0.23095
2016/10/31 15:51:59	0.510404	0.0377258
2016/10/31 15:52:00	1.00539	-0.0621731
2016/10/31 15:52:01	-0.931816	-0.259988
2016/10/31 15:52:02	0.302305	-0.00273978
2016/10/31 15:52:03	-0.248363	-0.131449
2016/10/31 15:52:04	0.615213	0.450217
2016/10/31 15:52:05	-0.614655	-0.0562533
2016/10/31 15:52:06	0.702169	-0.161249
2016/10/31 15:52:07	0.378245	0.419943
2016/10/31 15:52:08	0.450135	0.392141
2016/10/31 15:52:09	0.294912	0.214361
2016/10/31 15:52:10	-0.332539	-0.270487
2016/10/31 15:52:11	0.856233	-0.16723
2016/10/31 15:52:12	0.84719	0.228094
2016/10/31 15:52:13	0.403455	-0.207468
2016/10/31 15:52:14	0.432803	-0.138148
2016/10/31 15:52:15	0.537407	0.197591
2016/10/31 15:52:16	0.77928	0.0614673
2016/10/31 15:52:17	0.866917	-0.0782116
2016/10/31 15:52:18	-1.07889	0.179417
2016/10/31 15:52:19	1.19417	-0.0951643
2016/10/31 15:52:20	0.0355274	-0.229991
2016/10/31 15:52:21	-1.17927	-0.0724591
2016/10/31 15:52:22	1.03978	-0.147151
2016/10/31 15:52:23	0.251257	-0.0667678
2016/10/31 15:52:24	0.170925	-0.277218
2016/10/31 15:52:25	0.697771	-0.0806994
2016/10/31 15:52:26	-0.2362	-0.134135
2016/10/31 15:52:27	-0.288638	0.0507858
2016/10/31 15:52:28	0.665575	-0.186321
2016/10/31 15:52:29	0.500465	-0.206966
2016/10/31 15:52:30	-0.238802	-0.0996508
2016/10/31 15:52:31	0.742389	-0.168957
2016/10/31 15:52:32	0.710641	-0.136272
2016/10/31 15:52:33	0.566528	-0.0160184
2016/10/31 15:52:34	0.0583392	-0.166347
2016/10/31 15:52:35	0.479838	-0.103741
2016/10/31 15:52:36	-0.155486	-0.162472
2016/10/31 15:52:37	1.22921	-0.0392417
2016/10/31 15:52:38	-0.648182	-0.117947
2016/10/31 15:52:39	1.06409	-0.0180025
2016/10/31 15:52:40	0.534903	0.102283
2016/10/31 15:52:41	1.4481	-0.123333
2016/10/31 15:52:42	0.504183	-0.0851411
2016/10/31 15:52:43	0.11837	-0.150342
2016/10/31 15:52:44	1.19203	-0.0681277
2016/10/31 15:52:45	1.09339	0.0856504
2016/10/31 15:52:46	0.911737	-0.13374
2016/10/31 15:52:47	0.454207	-0.147214
2016/10/31 15:52:48	0.303746	-0.151593
2016/10/31 15:52:49	-0.0318352	-0.203229
2016/10/31 15:52:50	1.04396	-0.0974249
2016/10/31 15:52:51	0.23792	-0.0481088
2016/10/31 15:52:52	0.459102	-0.152906
2016/10/31 15:52:53	1.05504	-0.204587
2016/10/31 15:52:54	1.24729	-0.186994
2016/10/31 15:52:55	-0.217075	-0.158888
2016/10/31 15:52:56	0.522295	-0.139082
2016/10/31 15:52:57	0.69886	-0.221251
2016/10/31 15:52:58	0.288022	-0.0937637
2016/10/31 15:52:59	1.2531	-0.0841656
2016/10/31 15:53:00	0.906778	-0.104475
2016/10/31 15:53:01	0.690153	-0.152433
2016/10/31 15:53:02	1.6877	0.305315
2016/10/31 15:53:03	-0.129262	0.243028
2016/10/31 15:53:04	1.47797	-0.163207
2016/10/31 15:53:05	0.215871	-0.147536
2016/10/31 15:53:06	0.791117	-0.129867
2016/10/31 15:53:07	-0.0508719	-0.0497424
2016/10/31 15:53:08	-0.732705	0.0211037
2016/10/31 15:53:09	0.435497	0.169587
2016/10/31 15:53:10	-0.657896	-0.0986781
2016/10/31 15:53:11	0.442131	-0.171172
2016/10/31 15:53:12	1.10026	-0.196121
2016/10/31 15:53:13	0.992343	-0.151596
2016/10/31 15:53:14	1.42159	0.0156256
2016/10/31 15:53:15	1.04939	-0.0246423
2016/10/31 15:53:16	0.254216	-0.00859019
2016/10/31 15:53:17	0.593988	-0.116638
2016/10/31 15:53:18	-0.551834	0.695526
2016/10/31 15:53:19	-0.307703	-0.209961
2016/10/31 15:53:20	0.648524	-0.158997
2016/10/31 15:53:21	0.658158	1.33472
2016/10/31 15:53:22	0.0269226	-0.247513
2016/10/31 15:53:23	1.96234	-0.126755
2016/10/31 15:53:24	0.467699	-0.249573
2016/10/31 15:53:25	0.736733	-0.172577
2016/10/31 15:53:26	-0.0713218	-0.20337
2016/10/31 15:53:27	-0.00889314	-0.0584566
2016/10/31 15:53:28	-0.12371	-0.21666
2016/10/31 15:53:29	0.537413	-0.205445
2016/10/31 15:53:30	-0.380565	-0.214188
2016/10/31 15:53:31	-0.375144	-0.253388
2016/10/31 15:53:32	0.388031	-0.139787
