current_fire_datetime	current_fire_Babs_bkg_fit	current_fire_Bscat_bkg_fit
2016/10/29 08:42:33	7.36959	-1.79304
2016/10/29 08:42:34	7.36062	-1.79164
2016/10/29 08:42:35	7.35166	-1.79023
2016/10/29 08:42:36	7.34269	-1.78882
2016/10/29 08:42:37	7.33372	-1.78741
2016/10/29 08:42:38	7.32475	-1.786
2016/10/29 08:42:39	7.31579	-1.7846
2016/10/29 08:42:40	7.30682	-1.78319
2016/10/29 08:42:41	7.29785	-1.78178
2016/10/29 08:42:42	7.28889	-1.78037
2016/10/29 08:42:43	7.27992	-1.77897
2016/10/29 08:42:44	7.27095	-1.77756
2016/10/29 08:42:45	7.26199	-1.77615
2016/10/29 08:42:46	7.25302	-1.77474
2016/10/29 08:42:47	7.24405	-1.77333
2016/10/29 08:42:48	7.23509	-1.77193
2016/10/29 08:42:49	7.22612	-1.77052
2016/10/29 08:42:50	7.21715	-1.76911
2016/10/29 08:42:51	7.20819	-1.7677
2016/10/29 08:42:52	7.19922	-1.7663
2016/10/29 08:42:53	7.19025	-1.76489
2016/10/29 08:42:54	7.18129	-1.76348
2016/10/29 08:42:55	7.17232	-1.76207
2016/10/29 08:42:56	7.16335	-1.76066
2016/10/29 08:42:57	7.15439	-1.75926
2016/10/29 08:42:58	7.14542	-1.75785
2016/10/29 08:42:59	7.13645	-1.75644
2016/10/29 08:43:00	7.12749	-1.75503
2016/10/29 08:43:01	7.11852	-1.75363
2016/10/29 08:43:02	7.10955	-1.75222
2016/10/29 08:43:03	7.10058	-1.75081
2016/10/29 08:43:04	7.09162	-1.7494
2016/10/29 08:43:05	7.08265	-1.74799
2016/10/29 08:43:06	7.07368	-1.74659
2016/10/29 08:43:07	7.06472	-1.74518
2016/10/29 08:43:08	7.05575	-1.74377
2016/10/29 08:43:09	7.04678	-1.74236
2016/10/29 08:43:10	7.03782	-1.74096
2016/10/29 08:43:11	7.02885	-1.73955
2016/10/29 08:43:12	7.01988	-1.73814
2016/10/29 08:43:13	7.01092	-1.73673
2016/10/29 08:43:14	7.00195	-1.73532
2016/10/29 08:43:15	6.99298	-1.73392
2016/10/29 08:43:16	6.98402	-1.73251
2016/10/29 08:43:17	6.97505	-1.7311
2016/10/29 08:43:18	6.96608	-1.72969
2016/10/29 08:43:19	6.95712	-1.72829
2016/10/29 08:43:20	6.94815	-1.72688
2016/10/29 08:43:21	6.93918	-1.72547
2016/10/29 08:43:22	6.93022	-1.72406
2016/10/29 08:43:23	6.92125	-1.72265
2016/10/29 08:43:24	6.25377	-1.89135
2016/10/29 08:43:25	6.78515	-1.5425
2016/10/29 08:43:26	7.17761	-1.76949
2016/10/29 08:43:27	7.39149	-1.76016
2016/10/29 08:43:28	7.28767	-1.65586
2016/10/29 08:43:29	6.83467	-1.39042
2016/10/29 08:43:30	6.63967	-1.79625
2016/10/29 08:43:31	6.60208	-1.87315
2016/10/29 08:43:32	6.1232	-1.86791
2016/10/29 08:43:33	7.12437	-1.67002
2016/10/29 08:43:34	6.37126	-1.74194
2016/10/29 08:43:35	6.11449	-1.77075
2016/10/29 08:43:36	6.85467	-1.60712
2016/10/29 08:43:37	6.9892	-1.86507
2016/10/29 08:43:38	7.27143	-1.86287
2016/10/29 08:43:39	6.96888	-1.63893
2016/10/29 08:43:40	5.85976	-1.82552
2016/10/29 08:43:41	7.41616	-1.79094
2016/10/29 08:43:42	7.19265	-1.8374
2016/10/29 08:43:43	8.10208	-1.85642
2016/10/29 08:43:44	6.38419	-1.73939
2016/10/29 08:43:45	6.79478	-1.5177
2016/10/29 08:43:46	6.84026	-1.66305
2016/10/29 08:43:47	6.89269	-1.60548
2016/10/29 08:43:48	6.4931	-1.72533
2016/10/29 08:43:49	6.93311	-1.86604
2016/10/29 08:43:50	8.26069	-1.66772
2016/10/29 08:43:51	6.12428	-1.66892
2016/10/29 08:43:52	7.70858	-1.8237
2016/10/29 08:43:53	6.82241	-1.80844
2016/10/29 08:43:54	6.29135	-1.74711
2016/10/29 08:43:55	7.05124	-0.502465
2016/10/29 08:43:56	6.55296	-1.75937
2016/10/29 08:43:57	7.15831	-1.79157
2016/10/29 08:43:58	6.18712	-1.71988
2016/10/29 08:43:59	7.28674	-1.68676
2016/10/29 08:44:00	6.47131	-1.81975
2016/10/29 08:44:01	6.88276	-1.82498
2016/10/29 08:44:02	7.21461	-1.7762
2016/10/29 08:44:03	7.0201	-1.37856
2016/10/29 08:44:04	6.67843	-1.65926
2016/10/29 08:44:05	6.77865	-1.50691
2016/10/29 08:44:06	6.28269	-1.71531
2016/10/29 08:44:07	5.80076	-1.72063
2016/10/29 08:44:08	6.62901	-1.82949
2016/10/29 08:44:09	5.85851	-1.73854
2016/10/29 08:44:10	6.08117	-1.69723
2016/10/29 08:44:11	6.409	-1.86107
2016/10/29 08:44:12	6.44739	-1.79314
2016/10/29 08:44:13	6.46217	-1.60043
2016/10/29 08:44:14	9.5251	-1.81344
2016/10/29 08:44:15	7.15139	-1.73317
2016/10/29 08:44:16	6.77542	-1.77406
2016/10/29 08:44:17	5.35703	-1.84442
2016/10/29 08:44:18	5.79136	-1.84097
2016/10/29 08:44:19	5.84251	-1.50908
2016/10/29 08:44:20	5.83189	-1.69878
2016/10/29 08:44:21	6.84386	-1.77501
2016/10/29 08:44:22	5.62268	-1.83234
2016/10/29 08:44:23	4.94299	-1.71769
2016/10/29 08:44:24	5.95264	-0.761444
2016/10/29 08:44:25	4.6078	-1.87092
2016/10/29 08:44:26	5.82155	-1.75336
2016/10/29 08:44:27	5.53249	-1.75856
2016/10/29 08:44:28	5.77804	-1.85342
2016/10/29 08:44:29	5.7363	-1.81814
2016/10/29 08:44:30	4.62913	-1.68499
2016/10/29 08:44:31	6.11998	-1.71144
2016/10/29 08:44:32	6.16735	-1.74447
2016/10/29 08:44:33	6.19732	-1.81697
2016/10/29 08:44:34	5.35181	-1.83059
2016/10/29 08:44:35	5.72144	-1.89919
2016/10/29 08:44:36	5.51753	-1.58641
2016/10/29 08:44:37	6.53475	-1.89854
2016/10/29 08:44:38	6.20211	-1.7762
2016/10/29 08:44:39	5.52627	-1.75127
2016/10/29 08:44:40	7.35489	-1.91223
2016/10/29 08:44:41	5.38956	-1.82482
2016/10/29 08:44:42	4.67125	-1.86013
2016/10/29 08:44:43	5.87248	-1.82227
2016/10/29 08:44:44	5.83672	-1.79428
2016/10/29 08:44:45	6.50561	-1.74595
2016/10/29 08:44:46	6.06769	-1.81527
2016/10/29 08:44:47	6.23762	-1.80638
2016/10/29 08:44:48	6.45131	-1.66917
2016/10/29 08:44:49	6.01326	-1.77973
2016/10/29 08:44:50	5.3489	-1.81127
2016/10/29 08:44:51	7.1683	-1.82178
2016/10/29 08:44:52	6.7352	-1.7084
2016/10/29 08:44:53	6.72898	-1.77027
2016/10/29 08:44:54	6.10149	-1.81084
2016/10/29 08:44:55	5.95598	-1.84474
2016/10/29 08:44:56	7.30212	-1.85072
2016/10/29 08:44:57	6.56476	-1.83396
2016/10/29 08:44:58	6.25227	-2.00804
2016/10/29 08:44:59	7.06709	-1.79309
2016/10/29 08:45:00	6.23513	-1.9214
2016/10/29 08:45:01	6.46243	-1.88642
2016/10/29 08:45:02	6.14895	-1.89795
2016/10/29 08:45:03	6.16947	-1.77751
