Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:06.00,00:11:05.00,1,249,20,0:11:06  ,0:11:05  ,0:08:31  ,154.0,166.0,94.14648214697043,--,--,67.78887218045114,--
2,00:19:38.00,00:19:28.00,1,646,23,0:19:38  ,0:19:28  ,0:08:34  ,108.0,164.0,75.89794217224639,--,--,64.390800681431,--
3,00:19:39.00,00:18:53.00,1,633,3,0:19:39  ,0:18:53  ,0:07:52  ,114.0,168.0,71.84232694166835,--,--,64.59625212947189,--
4,00:09:36.00,00:09:30.00,1,16,3,0:09:36  ,0:09:30  ,0:08:08  ,160.0,170.0,104.77473735809326,--,--,64.4,--
5,00:17:20.00,00:17:17.00,1,482,13,0:17:20  ,0:17:17  ,0:06:54  ,122.0,180.0,76.10371843412575,--,--,64.03236994219654,--
6,00:20:14.00,00:20:11.00,1,587,46,0:20:14  ,0:20:11  ,0:07:46  ,112.0,176.0,71.01700249265912,--,--,66.12568125516103,--
7,00:12:24.00,00:12:19.00,1,180,154,0:12:24  ,0:12:19  ,0:08:44  ,140.0,232.0,92.70391508181524,--,--,70.75236806495263,--
8,00:12:55.00,00:12:51.00,1,167,213,0:12:55  ,0:12:51  ,0:09:12  ,136.0,176.0,91.61328078673505,--,--,72.75664516129032,--
9,00:13:41.00,00:13:32.00,1,151,66,0:13:41  ,0:13:32  ,0:09:21  ,132.0,230.0,89.10087287234595,--,--,73.78571428571429,--
10,00:13:11.00,00:13:04.00,1,115,318,0:13:11  ,0:13:04  ,0:08:40  ,134.0,230.0,91.09987164294088,--,--,71.03979591836735,--
11,00:16:05.00,00:16:04.00,1,253,10,0:16:05  ,0:16:04  ,0:09:28  ,122.0,234.0,82.01851520361738,--,--,74.4792531120332,--
12,00:18:05.00,00:18:01.00,1,492,174,0:18:05  ,0:18:01  ,0:08:36  ,116.0,178.0,76.72048144701951,--,--,73.46315789473684,--
13,00:22:38.00,00:22:16.00,1,653,23,0:22:38  ,0:22:16  ,0:09:34  ,108.0,226.0,65.83783201686764,--,--,72.41121076233185,--
14,00:16:38.00,00:16:26.00,1,187,535,0:16:38  ,0:16:26  ,0:09:41  ,134.0,170.0,72.2044072841345,--,--,76.33502024291498,--
15,00:13:42.00,00:13:41.00,1,3,876,0:13:42  ,0:13:41  ,0:07:56  ,154.0,186.0,76.27926655703443,--,--,82.03166869671134,--
16,00:09:25.00,00:09:22.00,1,0,666,0:09:25  ,0:09:22  ,0:07:02  ,154.0,178.0,110.97620727412796,--,--,82.2404255319149,--
17,00:13:48.00,00:13:35.00,1,161,666,0:13:48  ,0:13:35  ,0:07:09  ,116.0,184.0,100.53348112320792,--,--,82.87608695652173,--
18,00:10:42.00,00:10:40.00,1,82,676,0:10:42  ,0:10:40  ,0:06:51  ,158.0,206.0,95.19342043181786,--,--,77.781875,--
19,00:11:46.00,00:11:12.00,0.93,33,394,0:12:43  ,0:12:06  ,0:07:41  ,126.0,170.0,100.46000566203377,--,--,82.3787610619469,--
20,00:01:01.00,00:00:00.00,0.02,0,7,0:42:16  ,--,0:16:19  ,36.0,140.0,105.76502482096353,--,--,84.2,--
21,00:00:02.00,--,0,0,0,1:41:14  ,--,1:16:26  ,--,--,--,--,--,--,--
22,00:16:30.00,00:16:13.00,1,3,177,0:16:30  ,0:16:13  ,0:12:08  ,108.0,240.0,90.31088472616793,--,--,90.73482233502538,--
23,00:02:39.00,00:02:28.00,0.16,0,26,0:16:08  ,0:15:01  ,0:11:38  ,114.0,122.0,87.48427955806748,--,--,98.60000000000001,--
24,00:00:05.110,00:00:03.00,0,0,0,0:32:33  ,0:19:07  ,0:14:17  ,118.0,120.0,41.89193599934817,--,--,98.60000000000001,--
Summary,05:03:00.00,04:59:58.00,20.12,5125,5121,0:15:03  ,0:14:54  ,0:06:58  ,126.0,240.0,83.77674460538073,--,--,73.47783462617593,2566
