Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:00.00,00:10:57.00,1,390,13,0:11:00  ,0:10:57  ,0:07:30  ,168.0,176.0,87.08549598594765,--,--,63.394520547945206,--
2,00:14:38.00,00:14:32.00,1,607,0,0:14:38  ,0:14:32  ,0:10:31  ,162.0,172.0,67.88745321101462,--,--,56.2855504587156,--
3,00:13:06.00,00:13:06.00,1,486,3,0:13:06  ,0:13:06  ,0:09:26  ,162.0,172.0,75.83356732731659,--,--,54.36162642947903,--
4,00:11:38.00,00:11:33.00,1,279,112,0:11:38  ,0:11:33  ,0:07:47  ,160.0,172.0,86.46167438146378,--,--,52.96623376623377,--
5,00:07:49.00,00:07:43.00,1,23,505,0:07:49  ,0:07:43  ,0:06:54  ,164.0,176.0,125.54006702015022,--,--,51.33736501079913,--
6,00:08:44.00,00:08:38.00,1,3,535,0:08:44  ,0:08:38  ,0:07:53  ,160.0,176.0,115.17223037836206,--,--,51.855598455598454,--
7,00:07:05.00,00:07:05.00,1,0,561,0:07:05  ,0:07:05  ,0:06:09  ,166.0,176.0,136.86803394644755,--,--,52.90541176470588,--
8,00:02:26.890,00:02:25.00,0.33,13,69,0:07:19  ,0:07:14  ,0:06:56  ,168.0,180.0,130.67115447773259,--,--,53.6,--
Summary,01:16:29.00,01:16:29.00,7.34,1811,1808,0:10:25  ,0:10:25  ,0:06:10  ,162.0,180.0,94.53655621666545,--,--,55.05992590978427,1012
