Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:43.00,00:11:39.00,1,354,13,0:11:43  ,0:11:39  ,0:08:36  ,158.0,166.0,86.9333939078621,--,--,84.95193133047209,--
2,00:15:39.00,00:15:38.00,1,554,0,0:15:39  ,0:15:38  ,0:09:58  ,142.0,162.0,72.41776384017965,--,--,81.10660980810235,--
3,00:13:24.00,00:13:19.00,1,436,7,0:13:24  ,0:13:19  ,0:09:21  ,156.0,162.0,76.98717785210067,--,--,80.08861076345431,--
4,00:12:09.00,00:12:09.00,1,276,95,0:12:09  ,0:12:09  ,0:06:51  ,154.0,166.0,86.01036640587422,--,--,77.77777777777777,--
5,00:07:40.00,00:07:37.00,1,20,456,0:07:40  ,0:07:37  ,0:05:44  ,162.0,186.0,129.57648678102356,--,--,75.42844638949671,--
6,00:07:49.00,00:07:49.00,1,7,489,0:07:49  ,0:07:49  ,0:06:54  ,160.0,168.0,128.67856869565398,--,--,75.86638297872341,--
7,00:07:48.00,00:07:43.00,1,0,541,0:07:48  ,0:07:43  ,0:07:10  ,160.0,172.0,128.95352290226862,--,--,78.29071274298056,--
8,00:03:02.720,00:02:55.00,0.4,13,75,0:07:35  ,0:07:16  ,0:07:12  ,156.0,172.0,135.95834317724015,--,--,78.80000000000001,--
Summary,01:19:18.00,01:19:19.00,7.4,1670,1690,0:10:43  ,0:10:43  ,0:05:44  ,154.0,186.0,96.50656487352053,--,--,79.55608321075857,1030
