Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:15.00,00:11:13.00,1,16,39,0:11:15  ,0:11:13  ,0:06:54  ,146.0,240.0,97.98112425085617,--,--,72.00653789004457,--
2,00:07:48.00,00:07:48.00,1,0,13,0:07:48  ,0:07:48  ,0:06:48  ,168.0,176.0,122.81287895454153,--,--,68.75223880597015,--
3,00:07:48.00,00:07:42.00,1,26,3,0:07:48  ,0:07:42  ,0:06:41  ,164.0,176.0,125.80831502660355,--,--,66.76493506493506,--
4,00:02:33.710,00:02:28.00,0.31,10,0,0:08:11  ,0:07:53  ,0:04:24  ,152.0,214.0,129.19150177300622,--,--,66.2,--
Summary,00:29:25.00,00:29:26.00,3.31,56,59,0:08:52  ,0:08:53  ,0:04:24  ,158.0,240.0,114.66473442523892,--,--,69.24348810872027,490
