Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:57.00,00:07:57.00,1,43,0,0:07:57  ,0:07:57  ,0:06:57  ,172.0,192.0,117.69343029254881,--,--,68.52452830188679,--
2,00:07:27.00,00:07:25.00,1,26,59,0:07:27  ,0:07:25  ,0:05:49  ,172.0,184.0,125.59231823164605,--,--,63.538426966292135,--
3,00:07:29.00,00:07:25.00,1,62,79,0:07:29  ,0:07:25  ,0:06:09  ,174.0,188.0,123.59572734968994,--,--,60.15973154362416,--
4,00:08:00.00,00:07:58.00,1,69,26,0:08:00  ,0:07:58  ,0:06:57  ,170.0,184.0,118.33382101619945,--,--,58.318410041841005,--
5,00:07:16.00,00:07:16.00,1,0,49,0:07:16  ,0:07:16  ,0:05:53  ,172.0,188.0,128.76093176501328,--,--,56.891075514874146,--
6,00:00:21.70,00:00:19.00,0.04,0,0,0:09:00  ,0:08:07  ,0:06:26  ,168.0,184.0,106.34619734759431,--,--,53.6,--
Summary,00:38:34.00,00:38:31.00,5.04,200,217,0:07:39  ,0:07:38  ,0:05:53  ,172.0,192.0,122.4875128456989,--,--,61.47782101167315,767
