Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:06.00,00:06:59.00,1,36,0,0:07:06  ,0:06:59  ,0:06:01  ,170.0,180.0,133.3338828351543,--,--,74.11232227488152,--
2,00:06:58.00,00:06:57.00,1,26,49,0:06:58  ,0:06:57  ,0:06:33  ,174.0,180.0,132.76191765552815,--,--,66.93381294964028,--
3,00:07:07.00,00:07:05.00,1,36,62,0:07:07  ,0:07:05  ,0:06:08  ,174.0,182.0,129.963657096044,--,--,63.73929411764706,--
4,00:07:14.00,00:07:11.00,1,56,36,0:07:14  ,0:07:11  ,0:06:32  ,174.0,182.0,127.86746907836586,--,--,61.267749419953596,--
5,00:07:18.00,00:07:18.00,1,46,52,0:07:18  ,0:07:18  ,0:06:34  ,174.0,186.0,126.6997296347278,--,--,62.6,--
6,00:07:29.00,00:07:21.00,1,46,49,0:07:29  ,0:07:21  ,0:06:42  ,174.0,184.0,123.59572734968994,--,--,62.09387755102041,--
7,00:07:34.00,00:07:32.00,1,39,59,0:07:34  ,0:07:32  ,0:06:52  ,170.0,180.0,125.11064777043114,--,--,61.496902654867256,--
8,00:07:18.00,00:07:16.00,1,59,43,0:07:18  ,0:07:16  ,0:06:26  ,176.0,184.0,125.25995997978771,--,--,59.0,--
9,00:07:20.00,00:07:19.00,1,56,20,0:07:20  ,0:07:19  ,0:06:48  ,172.0,180.0,127.5903778398768,--,--,59.0,--
10,00:06:52.00,00:06:52.00,1,0,43,0:06:52  ,0:06:52  ,0:06:15  ,170.0,180.0,137.86464584411587,--,--,59.0,--
11,00:00:04.70,--,0.01,0,0,0:05:23  ,--,0:06:18  ,174.0,176.0,171.82072211548788,--,--,--,--
Summary,01:12:24.00,01:12:20.00,10.01,417,427,0:07:13  ,0:07:13  ,0:06:05  ,172.0,186.0,128.93249399904752,--,--,62.88017499424362,1525
