Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:09.00,00:07:07.00,1,33,75,0:07:09  ,0:07:07  ,0:06:35  ,170.0,178.0,132.4014780600833,--,--,79.94660421545667,--
2,00:08:08.00,00:08:06.00,1,197,13,0:08:08  ,0:08:06  ,0:06:57  ,168.0,176.0,117.77956424328984,--,--,73.95185185185186,--
3,00:13:46.00,00:13:31.00,1,587,30,0:13:46  ,0:13:31  ,0:07:30  ,158.0,168.0,73.9881064373209,--,--,65.9065693430657,--
4,00:12:16.00,00:12:05.00,1,315,52,0:12:16  ,0:12:05  ,0:08:35  ,162.0,170.0,80.98530423813972,--,--,60.88418156808804,--
5,00:10:58.00,00:10:51.00,1,79,240,0:10:58  ,0:10:51  ,0:08:30  ,158.0,172.0,92.87868680429644,--,--,58.80921658986175,--
6,00:14:17.00,00:14:17.00,1,89,453,0:14:17  ,0:14:17  ,0:09:41  ,152.0,244.0,74.12669498036199,--,--,59.035664335664336,--
7,00:12:30.00,00:12:29.00,1,85,351,0:12:30  ,0:12:29  ,0:09:35  ,158.0,244.0,81.48556788963607,--,--,55.79172229639519,--
8,00:09:43.00,00:09:36.00,1,16,256,0:09:43  ,0:09:36  ,0:08:45  ,162.0,168.0,102.2387374258505,--,--,54.01875,--
9,00:10:10.00,00:10:10.00,1,56,49,0:10:10  ,0:10:10  ,0:09:11  ,162.0,168.0,97.71341626109972,--,--,51.84713584288052,--
10,00:01:08.80,00:01:07.00,0.11,16,0,0:10:46  ,0:10:35  ,0:10:23  ,160.0,164.0,93.41950731236207,--,--,49.623880597014924,--
Summary,01:40:10.00,01:39:55.00,9.11,1486,1526,0:11:00  ,0:10:58  ,0:06:35  ,160.0,244.0,90.97652630913556,--,--,61.14963382157124,1309
