Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:31.00,00:07:28.00,1,3,16,0:07:31  ,0:07:28  ,0:06:53  ,166.0,176.0,128.9776373109539,--,--,79.76830357142856,--
2,00:07:33.00,00:07:28.00,1,13,26,0:07:33  ,0:07:28  ,0:06:52  ,170.0,174.0,125.38683021584048,--,--,79.15357142857144,--
3,00:07:39.00,00:07:38.00,1,26,3,0:07:39  ,0:07:38  ,0:07:09  ,168.0,172.0,125.22097462031687,--,--,77.82139737991267,--
4,00:08:03.00,00:07:59.00,1,16,0,0:08:03  ,0:07:59  ,0:06:42  ,168.0,174.0,118.9988143907359,--,--,77.0,--
5,00:08:17.00,00:08:17.00,1,23,7,0:08:17  ,0:08:17  ,0:07:36  ,168.0,176.0,115.64673511212365,--,--,76.22289156626506,--
6,00:07:48.00,00:07:43.00,1,7,26,0:07:48  ,0:07:43  ,0:07:00  ,168.0,176.0,122.81287895454153,--,--,74.91802575107296,--
7,00:07:52.00,00:07:50.00,1,0,26,0:07:52  ,0:07:50  ,0:07:15  ,168.0,178.0,121.7720918447573,--,--,75.2,--
8,00:07:54.00,00:07:52.00,1,0,30,0:07:54  ,0:07:52  ,0:07:25  ,168.0,176.0,121.25828555005369,--,--,75.2,--
9,00:07:43.00,00:07:39.00,1,30,13,0:07:43  ,0:07:39  ,0:07:23  ,168.0,174.0,124.13915194541131,--,--,75.5921568627451,--
10,00:07:38.00,00:07:38.00,1,10,7,0:07:38  ,0:07:38  ,0:07:19  ,168.0,174.0,125.49438286184595,--,--,77.0,--
11,00:00:02.60,--,0.01,0,0,0:04:42  ,--,0:07:31  ,166.0,166.0,205.63809672314335,--,--,--,--
Summary,01:18:05.00,01:18:02.00,10.01,138,167,0:07:48  ,0:07:47  ,0:06:53  ,168.0,178.0,122.90530074301083,--,--,76.76332977588046,1548
