Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:19.00,00:09:17.00,1,213,43,0:09:19  ,0:09:17  ,0:06:59  ,162.0,172.0,106.62823599153997,--,--,75.94973070017954,--
2,00:08:09.00,00:08:08.00,1,49,128,0:08:09  ,0:08:08  ,0:06:47  ,164.0,174.0,120.40550395184144,--,--,71.74016393442622,--
3,00:08:20.00,00:08:20.00,1,46,85,0:08:20  ,0:08:20  ,0:07:31  ,164.0,170.0,117.75658286490092,--,--,74.17245508982036,--
4,00:08:36.00,00:08:30.00,1,92,131,0:08:36  ,0:08:30  ,0:07:08  ,162.0,168.0,115.51392232416828,--,--,75.2,--
5,00:08:42.00,00:08:42.00,1,118,121,0:08:42  ,0:08:42  ,0:07:29  ,162.0,170.0,114.18617609055714,--,--,75.02447418738049,--
6,00:09:06.00,00:09:04.00,1,115,118,0:09:06  ,0:09:04  ,0:07:34  ,162.0,168.0,109.16700351514805,--,--,74.06176470588235,--
7,00:07:51.00,00:07:45.00,1,118,89,0:07:51  ,0:07:45  ,0:05:14  ,164.0,178.0,125.00698817930032,--,--,75.2,--
8,00:07:35.00,00:07:34.00,1,89,43,0:07:35  ,0:07:34  ,0:06:35  ,164.0,170.0,129.40283831307792,--,--,73.86784140969164,--
9,00:07:57.00,00:07:55.00,1,108,118,0:07:57  ,0:07:55  ,0:05:59  ,162.0,178.0,124.95845685381725,--,--,74.16547368421053,--
10,00:06:45.00,00:06:41.00,1,7,125,0:06:45  ,0:06:41  ,0:05:59  ,166.0,172.0,143.62694920306225,--,--,75.48279301745636,--
11,00:00:58.440,00:00:57.00,0.14,3,3,0:06:48  ,0:06:37  ,0:05:58  ,160.0,178.0,147.95303692403797,--,--,75.2,--
Summary,01:23:23.00,01:23:23.00,10.15,971,1027,0:08:13  ,0:08:13  ,0:05:14  ,162.0,178.0,120.10834884343878,--,--,74.50273835698582,1563
