Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:06:50.00,00:06:37.00,1,23,0,0:06:50  ,0:06:37  ,0:06:30  ,164.0,178.0,143.60558885963525,--,--,76.20975609756098,--
2,00:07:27.00,00:07:26.00,1,30,52,0:07:27  ,0:07:26  ,0:06:51  ,168.0,174.0,128.58261152287574,--,--,66.61973094170403,--
3,00:07:47.00,00:07:45.00,1,39,69,0:07:47  ,0:07:45  ,0:07:10  ,168.0,174.0,123.07586156472259,--,--,59.82451612903226,--
4,00:08:21.00,00:08:21.00,1,62,10,0:08:21  ,0:08:21  ,0:07:40  ,164.0,172.0,117.52153978533025,--,--,59.617964071856285,--
5,00:08:12.00,00:08:10.00,1,0,66,0:08:12  ,0:08:10  ,0:07:37  ,166.0,172.0,118.2295008683744,--,--,63.661632653061226,--
6,00:08:26.00,00:08:19.00,1,66,43,0:08:26  ,0:08:19  ,0:07:36  ,166.0,172.0,114.95832890758935,--,--,66.64729458917836,--
7,00:08:50.00,00:08:43.00,1,49,36,0:08:50  ,0:08:43  ,0:06:47  ,164.0,172.0,111.09111591028386,--,--,60.407648183556404,--
8,00:08:08.00,00:08:08.00,1,0,30,0:08:08  ,0:08:08  ,0:07:32  ,164.0,170.0,120.65223654190669,--,--,59.26503067484663,--
9,00:00:02.860,00:00:00.00,0.01,0,0,0:06:33  ,--,0:08:00  ,164.0,164.0,149.5394850226413,--,--,--,--
Summary,01:04:08.00,01:03:54.00,8.01,279,315,0:08:00  ,0:07:58  ,0:06:53  ,166.0,178.0,121.55269240033766,--,--,63.7379256563556,1202
