Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:08:30.00,00:08:27.00,1,46,23,0:08:30  ,0:08:27  ,0:03:31  ,164.0,170.0,115.44763025970677,--,--,70.87218934911243,--
2,00:11:56.00,00:11:55.00,1,292,0,0:11:56  ,0:11:55  ,0:08:41  ,158.0,168.0,85.35499429780316,--,--,72.4786013986014,--
3,00:09:58.00,00:09:56.00,1,171,75,0:09:58  ,0:09:56  ,0:07:31  ,162.0,172.0,99.67422060078735,--,--,71.92315436241611,--
4,00:08:27.00,00:08:21.00,1,30,125,0:08:27  ,0:08:21  ,0:07:45  ,166.0,170.0,114.73158664149943,--,--,73.46467065868264,--
5,00:08:27.00,00:08:27.00,1,115,135,0:08:27  ,0:08:27  ,0:05:54  ,168.0,180.0,113.36573441957682,--,--,74.01420118343196,--
6,00:07:15.00,00:07:13.00,1,0,217,0:07:15  ,0:07:13  ,0:05:30  ,170.0,182.0,130.57525077649595,--,--,71.57090069284064,--
7,00:08:08.00,00:08:08.00,1,0,98,0:08:08  ,0:08:08  ,0:07:21  ,166.0,170.0,119.1985951377873,--,--,76.18483606557376,--
8,00:09:11.00,00:09:04.00,1,105,7,0:09:11  ,0:09:04  ,0:08:33  ,166.0,170.0,105.56971765379348,--,--,77.02977941176471,--
9,00:08:32.00,00:08:26.00,1,33,66,0:08:32  ,0:08:26  ,0:08:02  ,166.0,170.0,113.61116099070354,--,--,85.73320158102766,--
10,00:01:28.950,00:01:26.00,0.17,0,10,0:08:42  ,0:08:24  ,0:08:09  ,164.0,168.0,112.79974063635012,--,--,84.28372093023256,--
Summary,01:21:58.00,01:21:58.00,9.17,797,768,0:08:56  ,0:08:56  ,0:04:41  ,164.0,182.0,109.21819015766164,--,--,74.90683204554696,1375
