Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:10:41.00,00:10:37.00,1,59,46,0:10:41  ,0:10:37  ,0:09:33  ,158.0,168.0,95.34192810799853,--,--,74.01036106750394,--
2,00:11:06.00,00:11:05.00,1,69,13,0:11:06  ,0:11:05  ,0:09:11  ,154.0,166.0,94.14648214697043,--,--,70.27368421052631,--
3,00:14:47.00,00:14:26.00,1,62,95,0:14:47  ,0:14:26  ,0:09:37  ,136.0,242.0,80.04542571558024,--,--,69.58619909502262,--
4,00:07:17.890,00:07:08.00,0.65,33,56,0:11:17  ,0:11:02  ,0:10:21  ,156.0,164.0,91.38753903172899,--,--,68.91682242990655,--
Summary,00:43:54.00,00:43:35.00,3.65,226,217,0:12:02  ,0:11:57  ,0:09:11  ,150.0,242.0,89.22626520678756,--,--,70.72358526395746,534
