Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:30.00,00:09:27.00,1,39,10,0:09:30  ,0:09:27  ,0:04:57  ,168.0,180.0,100.83583745741306,--,--,68.1015873015873,--
2,00:09:29.00,00:09:22.00,1,46,33,0:09:29  ,0:09:22  ,0:08:56  ,168.0,172.0,101.01305334046651,--,--,69.37402135231318,--
3,00:14:22.00,00:13:29.00,1,118,66,0:14:22  ,0:13:29  ,0:07:42  ,130.0,170.0,86.16847934072706,--,--,65.74425087108014,--
4,00:11:11.00,00:11:11.00,1,69,92,0:11:11  ,0:11:11  ,0:10:06  ,160.0,170.0,89.94075814942134,--,--,62.96160714285715,--
5,00:15:34.00,00:14:04.00,1,52,89,0:15:34  ,0:14:04  ,0:09:37  ,116.0,170.0,89.12389975376462,--,--,64.02992465016146,--
6,00:11:45.00,00:11:38.00,1,128,39,0:11:45  ,0:11:38  ,0:10:37  ,160.0,178.0,85.60318967129322,--,--,68.0,--
7,00:11:27.00,00:11:19.00,1,92,16,0:11:27  ,0:11:19  ,0:10:35  ,160.0,166.0,87.84606800329216,--,--,66.67982326951399,--
8,00:13:30.00,00:13:29.00,1,46,121,0:13:30  ,0:13:29  ,0:10:39  ,140.0,218.0,85.15026274181548,--,--,64.33770086526576,--
9,00:13:48.00,00:13:48.00,1,79,148,0:13:48  ,0:13:48  ,0:10:22  ,144.0,176.0,80.98530423813972,--,--,63.30869565217392,--
10,00:14:35.00,00:14:35.00,1,26,184,0:14:35  ,0:14:35  ,0:09:54  ,130.0,184.0,84.88826193337913,--,--,63.65,--
11,00:14:52.00,00:13:28.00,1,131,62,0:14:52  ,0:13:28  ,0:10:32  ,134.0,168.0,80.78475164749577,--,--,64.21127395715897,--
12,00:13:08.00,00:12:58.00,1,144,30,0:13:08  ,0:12:58  ,0:11:36  ,152.0,216.0,80.61748426163734,--,--,63.055784061696656,--
13,00:13:59.00,00:13:59.00,1,66,108,0:13:59  ,0:13:59  ,0:06:40  ,142.0,172.0,81.04920172339534,--,--,62.190226460071514,--
14,00:16:23.590,00:13:45.00,0.88,13,33,0:18:36  ,0:15:36  ,0:06:44  ,98.0,172.0,88.27595629938091,--,--,60.68547189819724,--
Summary,03:03:40.00,02:58:08.00,13.88,1070,1050,0:13:14  ,0:12:50  ,0:04:58  ,140.0,218.0,86.64218756588585,--,--,64.44278715296679,1918
