Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:08:50.00,00:08:47.00,1,98,3,0:08:50  ,0:08:47  ,0:04:33  ,166.0,172.0,109.75266873064191,--,--,71.64098671726755,--
2,00:09:23.00,00:09:19.00,1,213,194,0:09:23  ,0:09:19  ,0:07:02  ,164.0,172.0,104.57955849458341,--,--,68.05152057245081,--
3,00:08:28.640,00:08:28.00,1,0,128,0:08:29  ,0:08:28  ,0:07:39  ,164.0,170.0,115.68079148976386,--,--,65.44173228346457,--
Summary,00:26:42.00,00:26:43.00,3,315,328,0:08:54  ,0:08:54  ,0:04:51  ,164.0,172.0,109.81686504391843,--,--,68.4019962570181,451
