Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:10:36.00,00:10:35.00,1,249,36,0:10:36  ,0:10:35  ,0:06:16  ,156.0,172.0,97.32341351114614,--,--,72.84157480314961,--
2,00:09:44.00,00:09:43.00,1,161,33,0:09:44  ,0:09:43  ,0:06:51  ,164.0,172.0,100.81899217885353,--,--,67.31766723842196,--
3,00:09:15.00,00:09:09.00,1,79,69,0:09:15  ,0:09:09  ,0:07:33  ,162.0,180.0,107.39672778246998,--,--,67.80983606557376,--
4,00:12:02.00,00:11:47.00,1,276,23,0:12:02  ,0:11:47  ,0:07:17  ,150.0,176.0,89.1601089097126,--,--,68.1827538247566,--
5,00:09:39.00,00:09:39.00,1,89,23,0:09:39  ,0:09:39  ,0:07:47  ,160.0,172.0,104.23186307126375,--,--,65.14611398963731,--
6,00:09:25.00,00:09:19.00,1,49,108,0:09:25  ,0:09:19  ,0:07:58  ,162.0,174.0,105.49590074207227,--,--,64.3066189624329,--
7,00:13:21.00,00:13:14.00,1,338,131,0:13:21  ,0:13:14  ,0:08:03  ,144.0,214.0,83.71514595403207,--,--,62.00604534005038,--
8,00:11:36.00,00:11:26.00,1,141,341,0:11:36  ,0:11:26  ,0:07:10  ,146.0,214.0,95.02479722604585,--,--,65.40841799709725,--
9,00:11:03.00,00:10:59.00,1,138,95,0:11:03  ,0:10:59  ,0:07:47  ,150.0,172.0,97.09441724406108,--,--,70.18786039453718,--
10,00:08:54.00,00:08:54.00,1,39,82,0:08:54  ,0:08:54  ,0:07:08  ,164.0,176.0,110.2589727199447,--,--,67.92598130841122,--
11,00:11:30.00,00:11:29.00,1,23,177,0:11:30  ,0:11:29  ,0:07:48  ,150.0,242.0,93.29507048233697,--,--,68.52510885341074,--
12,00:09:52.00,00:09:50.00,1,30,151,0:09:52  ,0:09:50  ,0:07:59  ,160.0,234.0,101.94298769976642,--,--,64.72338983050847,--
13,00:10:34.00,00:10:27.00,1,52,282,0:10:34  ,0:10:27  ,0:07:42  ,158.0,242.0,96.39459923852847,--,--,63.45837320574162,--
14,00:04:13.990,00:04:12.00,0.49,3,115,0:08:43  ,0:08:39  ,0:08:15  ,164.0,172.0,112.52170951834341,--,--,63.4,--
Summary,02:21:51.00,02:21:37.00,13.49,1683,1683,0:10:31  ,0:10:30  ,0:06:40  ,156.0,242.0,98.24498215826421,--,--,66.60284304511279,2060
