Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:10:49.00,00:10:43.00,1,404,13,0:10:49  ,0:10:43  ,0:07:59  ,166.0,174.0,89.62852762286627,--,--,66.3203732503888,--
2,00:14:42.00,00:14:38.00,1,620,0,0:14:42  ,0:14:38  ,0:10:30  ,158.0,168.0,69.29044888574496,--,--,66.36122448979592,--
3,00:12:55.00,00:12:53.00,1,472,16,0:12:55  ,0:12:53  ,0:07:16  ,160.0,168.0,77.8712886687248,--,--,66.71228978007761,--
4,00:11:05.00,00:11:04.00,1,66,499,0:11:05  ,0:11:04  ,0:07:14  ,156.0,186.0,93.0792345760736,--,--,65.7960843373494,--
5,00:09:42.00,00:09:40.00,1,75,463,0:09:42  ,0:09:40  ,0:06:00  ,160.0,186.0,103.69458542656653,--,--,62.46034482758621,--
6,00:10:54.00,00:10:46.00,1,167,381,0:10:54  ,0:10:46  ,0:07:33  ,160.0,184.0,92.27866776492617,--,--,62.69984591679507,--
7,00:13:16.00,00:13:07.00,1,479,0,0:13:16  ,0:13:07  ,0:09:48  ,160.0,168.0,75.81689537470065,--,--,64.55095298602288,--
8,00:13:07.00,00:12:59.00,1,364,98,0:13:07  ,0:12:59  ,0:08:28  ,154.0,176.0,79.67161005067636,--,--,64.02567394094993,--
9,00:10:24.00,00:10:22.00,1,217,138,0:10:24  ,0:10:22  ,0:07:58  ,160.0,192.0,96.71514217670148,--,--,61.92861736334405,--
10,00:11:59.00,00:11:51.00,1,39,463,0:11:59  ,0:11:51  ,0:08:08  ,158.0,178.0,84.99885384871637,--,--,60.84531468531469,--
11,00:10:52.00,00:10:48.00,1,95,295,0:10:52  ,0:10:48  ,0:08:13  ,162.0,178.0,91.41899374121293,--,--,63.05277777777778,--
12,00:08:44.00,00:08:41.00,1,20,312,0:08:44  ,0:08:41  ,0:07:28  ,164.0,172.0,112.36315158864592,--,--,64.8595009596929,--
13,00:08:50.00,00:08:48.00,1,20,230,0:08:50  ,0:08:48  ,0:07:44  ,164.0,172.0,111.09111591028386,--,--,67.5909090909091,--
14,00:09:25.00,00:09:24.00,1,39,59,0:09:25  ,0:09:24  ,0:07:35  ,164.0,176.0,104.20936536716896,--,--,68.53617021276597,--
15,00:10:45.00,00:10:43.00,1,138,16,0:10:45  ,0:10:43  ,0:09:20  ,162.0,168.0,92.41113785933463,--,--,67.12379471228616,--
16,00:09:50.00,00:09:50.00,1,23,141,0:09:50  ,0:09:50  ,0:08:50  ,160.0,168.0,102.28855714959614,--,--,67.43254237288136,--
17,00:10:07.00,00:10:06.00,1,49,128,0:10:07  ,0:10:06  ,0:08:40  ,160.0,166.0,99.42380348972276,--,--,70.92277227722772,--
18,00:10:57.00,00:10:55.00,1,118,105,0:10:57  ,0:10:55  ,0:08:56  ,160.0,168.0,91.85730398517765,--,--,70.54748091603054,--
Summary,03:18:31.00,03:18:17.00,18,3435,3383,0:11:01  ,0:11:01  ,0:06:00  ,160.0,192.0,91.0395485379024,--,--,65.58357406785355,2606
