Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:10:11.00,00:10:06.00,1,325,3,0:10:11  ,0:10:06  ,0:08:17  ,160.0,172.0,98.77291115918449,--,--,70.86039603960396,--
2,00:10:17.00,00:10:03.00,1,217,43,0:10:17  ,0:10:03  ,0:07:45  ,152.0,172.0,102.96041750108628,--,--,65.82243902439023,--
3,00:11:38.00,00:11:26.00,1,397,52,0:11:38  ,0:11:26  ,0:07:33  ,150.0,200.0,92.2257860068947,--,--,64.18823529411765,--
4,00:12:22.00,00:12:08.00,1,358,72,0:12:22  ,0:12:08  ,0:06:50  ,154.0,170.0,84.50344623973356,--,--,64.41212938005391,--
5,00:09:17.00,00:09:09.00,1,164,187,0:09:17  ,0:09:09  ,0:06:20  ,162.0,174.0,107.0111021889961,--,--,66.77049180327869,--
6,00:09:37.00,00:09:32.00,1,33,410,0:09:37  ,0:09:32  ,0:07:20  ,160.0,200.0,104.59315202471701,--,--,68.60415224913496,--
7,00:08:23.00,00:08:19.00,1,23,486,0:08:23  ,0:08:19  ,0:06:33  ,164.0,180.0,117.05425732097507,--,--,70.29779559118236,--
8,00:08:29.00,00:08:18.00,1,39,230,0:08:29  ,0:08:18  ,0:07:32  ,164.0,180.0,115.67444289282997,--,--,74.38767395626243,--
9,00:08:36.00,00:08:27.00,1,30,52,0:08:36  ,0:08:27  ,0:07:52  ,162.0,170.0,115.51392232416828,--,--,74.06705882352941,--
10,00:06:36.520,00:06:36.00,0.75,39,39,0:08:48  ,0:08:48  ,0:07:52  ,162.0,174.0,112.72515320866275,--,--,71.6,--
Summary,01:35:32.00,01:34:41.00,9.75,1640,1588,0:09:48  ,0:09:42  ,0:06:21  ,158.0,200.0,103.54752260191205,--,--,68.64059285091543,1467
