Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:53.00,00:09:48.00,1,3,36,0:09:53  ,0:09:48  ,0:09:05  ,160.0,180.0,101.77107709656276,--,--,83.57857142857142,--
2,00:09:43.00,00:09:41.00,1,3,26,0:09:43  ,0:09:41  ,0:06:14  ,152.0,176.0,108.96497015123539,--,--,81.73390705679863,--
3,00:09:47.00,00:09:45.00,1,13,0,0:09:47  ,0:09:45  ,0:08:27  ,148.0,180.0,111.1473801155886,--,--,81.4,--
4,00:09:27.00,00:09:23.00,1,39,0,0:09:27  ,0:09:23  ,0:07:21  ,128.0,180.0,133.04728553408668,--,--,78.80000000000001,--
5,00:00:37.820,00:00:35.00,0.07,0,0,0:09:34  ,0:08:51  ,0:09:18  ,144.0,174.0,116.71514553174414,--,--,78.80000000000001,--
Summary,00:39:29.00,00:39:29.00,4.07,59,62,0:09:42  ,0:09:42  ,0:06:18  ,146.0,180.0,113.59491690464985,--,--,81.35829463908823,625
