Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:26.00,00:07:24.00,1,20,10,0:07:26  ,0:07:24  ,0:06:28  ,172.0,180.0,125.87391535772599,--,--,70.72432432432433,--
2,00:07:15.00,00:07:12.00,1,33,7,0:07:15  ,0:07:12  ,0:06:55  ,174.0,178.0,127.573520873588,--,--,66.54166666666666,--
3,00:07:13.00,00:07:08.00,1,26,0,0:07:13  ,0:07:08  ,0:06:42  ,174.0,182.0,128.16277501157222,--,--,60.17336448598131,--
4,00:07:33.00,00:07:28.00,1,30,0,0:07:33  ,0:07:28  ,0:06:01  ,172.0,178.0,123.92884381798189,--,--,58.19642857142857,--
5,00:07:39.00,00:07:39.00,1,33,13,0:07:39  ,0:07:39  ,0:07:10  ,170.0,176.0,123.74778668360726,--,--,57.321568627450986,--
6,00:07:43.00,00:07:41.00,1,49,7,0:07:43  ,0:07:41  ,0:07:08  ,172.0,178.0,121.25219492342502,--,--,59.132754880694144,--
7,00:07:46.00,00:07:45.00,1,30,30,0:07:46  ,0:07:45  ,0:07:24  ,170.0,176.0,121.88891435145008,--,--,60.8,--
8,00:07:39.00,00:07:33.00,1,36,30,0:07:39  ,0:07:33  ,0:07:14  ,170.0,176.0,123.74778668360726,--,--,60.8,--
9,00:07:50.00,00:07:48.00,1,46,3,0:07:50  ,0:07:48  ,0:07:33  ,170.0,176.0,120.85156188888453,--,--,62.46538461538462,--
10,00:07:23.00,00:07:23.00,1,7,36,0:07:23  ,0:07:23  ,0:07:01  ,170.0,174.0,128.21723270378268,--,--,62.73002257336343,--
11,00:07:27.00,00:07:21.00,1,13,43,0:07:27  ,0:07:21  ,0:06:45  ,170.0,178.0,127.06987491672423,--,--,65.05714285714285,--
12,00:07:25.00,00:07:20.00,1,46,30,0:07:25  ,0:07:20  ,0:05:16  ,170.0,176.0,127.64097547814772,--,--,64.4,--
13,00:07:18.00,00:07:17.00,1,20,16,0:07:18  ,0:07:17  ,0:06:44  ,172.0,180.0,128.17298230489905,--,--,63.34965675057208,--
14,00:09:04.00,00:09:04.00,1,30,23,0:09:04  ,0:09:04  ,0:06:44  ,164.0,176.0,108.2321533684751,--,--,70.26323529411765,--
15,00:09:50.00,00:09:44.00,1,0,46,0:09:50  ,0:09:44  ,0:06:33  ,166.0,172.0,98.5913803851529,--,--,70.08047945205479,--
16,00:09:40.00,00:09:40.00,1,3,20,0:09:40  ,0:09:40  ,0:08:41  ,166.0,170.0,100.29123177110381,--,--,70.96689655172415,--
17,00:09:49.00,00:09:45.00,1,7,36,0:09:49  ,0:09:45  ,0:09:06  ,166.0,170.0,98.7587681277423,--,--,70.1723076923077,--
18,00:10:01.00,00:09:53.00,1,7,26,0:10:01  ,0:09:53  ,0:09:04  ,166.0,172.0,96.78687924665593,--,--,69.76357504215852,--
19,00:10:14.00,00:10:09.00,1,16,30,0:10:14  ,0:10:09  ,0:06:59  ,166.0,172.0,94.73764564697103,--,--,69.49261083743843,--
20,00:10:02.00,00:09:59.00,1,16,3,0:10:02  ,0:09:59  ,0:09:41  ,166.0,172.0,96.62610369973457,--,--,68.48080133555926,--
21,00:10:19.00,00:10:17.00,1,26,7,0:10:19  ,0:10:17  ,0:09:50  ,164.0,170.0,95.11840296033999,--,--,66.2,--
22,00:10:37.00,00:10:37.00,1,26,7,0:10:37  ,0:10:37  ,0:08:52  ,162.0,168.0,93.57171729869832,--,--,65.18714733542319,--
23,00:10:47.00,00:10:40.00,1,23,3,0:10:47  ,0:10:40  ,0:10:08  ,164.0,170.0,91.00199603160813,--,--,65.53625,--
24,00:00:30.70,00:00:28.00,0.05,0,0,0:09:34  ,0:08:54  ,0:09:58  ,166.0,166.0,101.29376534869591,--,--,64.4,--
Summary,03:18:39.00,03:18:35.00,23.06,574,446,0:08:37  ,0:08:37  ,0:05:26  ,168.0,182.0,110.95225427555687,--,--,65.50192985400236,3567
