Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:48.00,00:09:20.00,1,23,43,0:09:48  ,0:09:20  ,0:08:29  ,166.0,172.0,98.92672521639491,--,--,64.20427807486631,--
2,00:06:23.00,00:06:21.00,1,16,26,0:06:23  ,0:06:21  ,0:03:08  ,164.0,172.0,153.72922045026232,--,--,55.29190600522193,--
3,00:04:08.950,00:04:04.00,0.51,20,3,0:08:05  ,0:07:56  ,0:06:54  ,166.0,172.0,119.76421811517277,--,--,56.071311475409836,--
Summary,00:20:20.00,00:20:16.00,2.51,62,75,0:08:05  ,0:08:04  ,0:03:23  ,166.0,172.0,120.38403865843227,--,--,59.63642329778507,341
