Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:08:42.00,00:08:41.00,1,92,112,0:08:42  ,0:08:41  ,0:07:17  ,168.0,176.0,110.10809837303725,--,--,73.51401151631478,--
2,00:11:44.00,00:11:40.00,1,404,0,0:11:44  ,0:11:40  ,0:08:24  ,162.0,174.0,84.66645443078244,--,--,68.49885714285713,--
3,00:12:40.00,00:12:36.00,1,443,7,0:12:40  ,0:12:36  ,0:07:43  ,156.0,172.0,81.4443302540644,--,--,63.16904761904762,--
4,00:13:36.00,00:13:23.00,1,505,20,0:13:36  ,0:13:23  ,0:09:00  ,158.0,170.0,74.89482342797433,--,--,66.05483870967743,--
5,00:10:58.00,00:10:56.00,1,135,512,0:10:58  ,0:10:56  ,0:07:56  ,156.0,178.0,94.06943919922331,--,--,69.16615853658537,--
6,00:10:44.00,00:10:44.00,1,190,187,0:10:44  ,0:10:44  ,0:07:40  ,160.0,200.0,93.71156633270454,--,--,69.37236024844721,--
7,00:09:13.00,00:09:07.00,1,69,463,0:09:13  ,0:09:07  ,0:07:44  ,160.0,180.0,109.13245699504832,--,--,70.85901639344263,--
8,00:11:15.00,00:11:07.00,1,197,318,0:11:15  ,0:11:07  ,0:07:59  ,160.0,180.0,89.40777587890625,--,--,70.4375,--
9,00:11:48.00,00:11:46.00,1,276,108,0:11:48  ,0:11:46  ,0:07:57  ,162.0,168.0,84.18811288032603,--,--,73.23937677053824,--
10,00:13:46.00,00:13:39.00,1,443,0,0:13:46  ,0:13:39  ,0:10:57  ,160.0,166.0,73.06325510685438,--,--,78.5956043956044,--
11,00:14:56.00,00:14:54.00,1,427,98,0:14:56  ,0:14:54  ,0:09:21  ,152.0,180.0,70.90019821224357,--,--,75.60671140939598,--
12,00:15:29.00,00:15:29.00,1,344,243,0:15:29  ,0:15:29  ,0:08:00  ,130.0,186.0,79.95396037858636,--,--,75.28709677419354,--
13,00:10:17.00,00:10:08.00,1,102,341,0:10:17  ,0:10:08  ,0:07:29  ,158.0,174.0,99.05052822889311,--,--,77.48256578947368,--
14,00:08:36.00,00:08:29.00,1,7,459,0:08:36  ,0:08:29  ,0:07:36  ,160.0,166.0,116.95784635322039,--,--,77.43497053045186,--
15,00:08:16.00,00:08:12.00,1,0,617,0:08:16  ,0:08:12  ,0:07:16  ,162.0,172.0,120.17174177272345,--,--,79.6670731707317,--
16,00:04:46.240,00:04:42.00,0.53,13,112,0:09:00  ,0:08:52  ,0:08:26  ,162.0,170.0,110.32182579316377,--,--,81.24468085106383,--
Summary,02:56:54.00,02:56:43.00,15.53,3661,3622,0:11:23  ,0:11:22  ,0:07:17  ,156.0,200.0,89.89512612630972,--,--,72.6347498351079,2187
