Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:47.00,00:11:41.00,1,400,16,0:11:47  ,0:11:41  ,0:08:11  ,162.0,176.0,84.30719083348066,--,--,67.21906116642958,--
2,00:14:49.00,00:14:40.00,1,617,0,0:14:49  ,0:14:40  ,0:10:05  ,160.0,164.0,67.88554411503006,--,--,64.17194570135746,--
3,00:13:07.00,00:13:02.00,1,466,39,0:13:07  ,0:13:02  ,0:09:02  ,160.0,176.0,76.68392467377602,--,--,58.033248081841435,--
4,00:09:07.00,00:09:00.00,1,10,577,0:09:07  ,0:09:00  ,0:07:42  ,164.0,182.0,107.63855837742314,--,--,55.75333333333333,--
5,00:10:36.00,00:10:30.00,1,197,312,0:10:36  ,0:10:30  ,0:08:18  ,162.0,186.0,93.71884264036294,--,--,56.796208530805686,--
6,00:10:22.00,00:10:19.00,1,95,335,0:10:22  ,0:10:19  ,0:06:50  ,162.0,238.0,95.82826996667336,--,--,59.55184590690209,--
7,00:10:52.00,00:10:51.00,1,207,289,0:10:52  ,0:10:51  ,0:07:50  ,162.0,190.0,91.41899374121293,--,--,60.11981566820276,--
8,00:12:16.00,00:12:16.00,1,335,89,0:12:16  ,0:12:16  ,0:07:27  ,162.0,170.0,80.98530423813972,--,--,59.36684782608695,--
9,00:14:40.00,00:14:27.00,1,515,0,0:14:40  ,0:14:27  ,0:10:50  ,158.0,166.0,69.4479271786671,--,--,58.90242214532872,--
10,00:15:24.00,00:15:11.00,1,430,105,0:15:24  ,0:15:11  ,0:07:53  ,150.0,186.0,69.66839678875812,--,--,57.78090010976949,--
11,00:14:14.00,00:14:11.00,1,295,312,0:14:14  ,0:14:11  ,0:10:00  ,150.0,200.0,75.3789211157055,--,--,55.71515863689777,--
12,00:08:40.00,00:08:38.00,1,30,446,0:08:40  ,0:08:38  ,0:07:27  ,162.0,200.0,114.62535369090546,--,--,57.047104247104244,--
13,00:08:41.00,00:08:39.00,1,7,545,0:08:41  ,0:08:39  ,0:07:54  ,162.0,174.0,114.40534341510715,--,--,57.2,--
14,00:08:16.00,00:08:12.00,1,0,505,0:08:16  ,0:08:12  ,0:07:37  ,166.0,180.0,117.27603715169397,--,--,59.58536585365854,--
15,00:02:07.90,00:02:02.00,0.24,13,36,0:08:41  ,0:08:20  ,0:08:12  ,164.0,172.0,112.9773607997733,--,--,61.80327868852459,--
Summary,02:45:04.00,02:44:52.00,14.25,3632,3625,0:11:35  ,0:11:34  ,0:06:51  ,160.0,238.0,86.80499536801132,--,--,59.24460373548713,1976
