Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:08:17.00,00:08:12.00,1,10,39,0:08:17  ,0:08:12  ,0:06:35  ,162.0,170.0,119.92994752368375,--,--,80.18181818181819,--
2,00:08:06.00,00:08:04.00,1,0,39,0:08:06  ,0:08:04  ,0:07:13  ,166.0,170.0,119.68912433588521,--,--,75.97727272727273,--
3,00:08:12.00,00:08:08.00,1,0,20,0:08:12  ,0:08:08  ,0:07:49  ,164.0,170.0,119.67132404969605,--,--,75.42131147540984,--
4,00:08:25.00,00:08:21.00,1,20,0,0:08:25  ,0:08:21  ,0:07:44  ,164.0,170.0,116.5906761038623,--,--,80.51377245508982,--
5,00:08:49.00,00:08:46.00,1,36,0,0:08:49  ,0:08:46  ,0:08:01  ,162.0,170.0,112.67520589654222,--,--,82.21178707224334,--
6,00:09:06.00,00:08:58.00,1,43,3,0:09:06  ,0:08:58  ,0:08:23  ,164.0,168.0,107.83569859423162,--,--,82.89851301115242,--
7,00:00:02.40,--,0.01,0,3,0:04:34  ,--,0:08:29  ,162.0,164.0,217.1387120877443,--,--,--,--
Summary,00:51:00.00,00:50:55.00,6.01,115,108,0:08:29  ,0:08:28  ,0:06:36  ,164.0,170.0,115.9478186520072,--,--,79.63584041857423,919
