Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:00.00,00:06:57.00,1,20,230,0:07:00  ,0:06:57  ,0:06:00  ,168.0,180.0,136.84863654934628,--,--,77.39,--
2,00:07:26.00,00:07:26.00,1,0,167,0:07:26  ,0:07:26  ,0:06:28  ,168.0,174.0,128.87091334243374,--,--,74.04977578475336,--
3,00:07:43.00,00:07:38.00,1,0,92,0:07:43  ,0:07:38  ,0:07:24  ,168.0,174.0,124.13915194541131,--,--,73.4,--
4,00:07:47.00,00:07:47.00,1,0,66,0:07:47  ,0:07:47  ,0:07:20  ,168.0,172.0,123.07586156472259,--,--,74.13461538461539,--
5,00:08:13.00,00:08:12.00,1,69,69,0:08:13  ,0:08:12  ,0:05:28  ,162.0,182.0,120.903009978237,--,--,72.22926829268292,--
6,00:09:39.00,00:09:31.00,1,210,10,0:09:39  ,0:09:31  ,0:07:21  ,164.0,170.0,101.68962250855003,--,--,70.01751313485114,--
7,00:09:47.00,00:09:47.00,1,157,26,0:09:47  ,0:09:47  ,0:07:46  ,154.0,172.0,106.81696270848772,--,--,69.30936967632027,--
8,00:07:49.00,00:07:45.00,1,23,75,0:07:49  ,0:07:45  ,0:07:10  ,166.0,170.0,124.02753609219661,--,--,68.13935483870968,--
9,00:08:05.00,00:08:01.00,1,7,30,0:08:05  ,0:08:01  ,0:07:48  ,168.0,172.0,118.50809763036175,--,--,68.0,--
10,00:08:24.00,00:08:19.00,1,10,62,0:08:24  ,0:08:19  ,0:07:44  ,162.0,172.0,118.26425380807706,--,--,68.26332665330662,--
11,00:08:11.00,00:08:10.00,1,13,98,0:08:11  ,0:08:10  ,0:07:32  ,166.0,170.0,118.47029414916538,--,--,67.4195918367347,--
12,00:08:19.00,00:08:19.00,1,20,75,0:08:19  ,0:08:19  ,0:07:40  ,166.0,170.0,116.57097079607257,--,--,67.14148296593186,--
13,00:07:45.00,00:07:45.00,1,0,161,0:07:45  ,0:07:45  ,0:07:02  ,168.0,172.0,123.60522010908699,--,--,68.82451612903225,--
14,00:10:07.00,00:10:03.00,1,180,52,0:10:07  ,0:10:03  ,0:06:48  ,154.0,172.0,103.29745817114053,--,--,70.45970149253732,--
15,00:08:57.00,00:08:56.00,1,59,13,0:08:57  ,0:08:56  ,0:08:17  ,164.0,168.0,109.6430008053081,--,--,71.46567164179103,--
16,00:09:20.00,00:09:16.00,1,105,7,0:09:20  ,0:09:16  ,0:08:13  ,164.0,168.0,105.13980612937581,--,--,71.87841726618706,--
17,00:09:34.00,00:09:13.00,1,69,16,0:09:34  ,0:09:13  ,0:08:26  ,158.0,170.0,106.47068975126666,--,--,68.9,--
18,00:09:16.00,00:09:11.00,1,33,10,0:09:16  ,0:09:11  ,0:08:56  ,162.0,166.0,107.20356820012739,--,--,75.89582577132487,--
19,00:09:59.00,00:09:57.00,1,69,3,0:09:59  ,0:09:57  ,0:08:59  ,164.0,170.0,98.29430957003416,--,--,77.48844221105527,--
20,00:09:58.00,00:09:22.00,1,33,85,0:09:58  ,0:09:22  ,0:07:59  ,152.0,170.0,106.23173511399703,--,--,75.5473154362416,--
21,00:08:27.00,00:08:24.00,1,3,226,0:08:27  ,0:08:24  ,0:07:02  ,158.0,168.0,120.54078090182851,--,--,74.21428571428572,--
22,00:09:34.00,00:09:31.00,1,49,138,0:09:34  ,0:09:31  ,0:07:39  ,162.0,164.0,103.84178383148227,--,--,78.39334500875657,--
23,00:12:00.00,00:10:55.00,1,89,0,0:12:00  ,0:10:55  ,0:08:38  ,148.0,166.0,90.61598906645904,--,--,83.13454038997214,--
24,00:11:05.00,00:10:57.00,1,85,3,0:11:05  ,0:10:57  ,0:10:16  ,160.0,164.0,90.75225371167176,--,--,80.65479452054794,--
25,00:11:44.00,00:11:44.00,1,125,0,0:11:44  ,0:11:44  ,0:10:33  ,158.0,164.0,86.80990897333389,--,--,77.97414772727274,--
26,00:13:49.00,00:13:34.00,1,203,26,0:13:49  ,0:13:34  ,0:10:07  ,156.0,162.0,74.66548973834612,--,--,77.24987714987715,--
27,00:04:06.520,00:04:04.00,0.29,92,0,0:14:05  ,0:13:56  ,0:12:33  ,154.0,160.0,74.17643017352968,--,--,78.78524590163934,--
Summary,04:04:16.00,04:02:17.00,26.3,1755,1775,0:09:17  ,0:09:13  ,0:05:29  ,162.0,182.0,107.29944399861778,--,--,73.62484650020467,4028
