Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:11:26.00,00:11:00.00,1,0,36,0:11:26  ,0:11:00  ,0:08:10  ,134.0,176.0,105.04372954747265,--,--,87.93421052631578,--
2,00:10:29.00,00:10:25.00,1,0,23,0:10:29  ,0:10:25  ,0:09:17  ,152.0,172.0,100.99614880472214,--,--,83.7536,--
3,00:10:55.00,00:10:49.00,1,13,3,0:10:55  ,0:10:49  ,0:08:55  ,130.0,170.0,113.40034991100264,--,--,82.37781201848998,--
4,00:11:28.00,00:11:25.00,1,33,0,0:11:28  ,0:11:25  ,0:08:44  ,124.0,180.0,113.18501259989071,--,--,80.64467153284671,--
5,00:00:33.240,00:00:33.00,0.06,0,0,0:08:59  ,0:08:55  ,0:09:19  ,152.0,184.0,117.81540242592772,--,--,80.6,--
Summary,00:44:53.00,00:44:28.00,4.06,49,66,0:11:03  ,0:10:57  ,0:08:15  ,136.0,184.0,108.37059419474244,--,--,83.64368499257058,614
