Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:08.00,00:07:08.00,1,20,26,0:07:08  ,0:07:08  ,0:06:00  ,168.0,176.0,134.2907181091716,--,--,78.36363636363637,--
2,00:07:09.00,00:07:08.00,1,30,0,0:07:09  ,0:07:08  ,0:06:28  ,168.0,174.0,133.97768613222715,--,--,72.43271028037384,--
3,00:07:33.00,00:07:27.00,1,33,0,0:07:33  ,0:07:27  ,0:07:03  ,168.0,172.0,126.87953057555286,--,--,70.04563758389261,--
4,00:07:39.00,00:07:38.00,1,30,3,0:07:39  ,0:07:38  ,0:07:22  ,166.0,172.0,126.7296610615255,--,--,73.69082969432316,--
5,00:07:38.00,00:07:38.00,1,23,3,0:07:38  ,0:07:38  ,0:07:02  ,166.0,174.0,127.00636337825372,--,--,76.2156862745098,--
6,00:07:51.00,00:07:46.00,1,13,20,0:07:51  ,0:07:46  ,0:07:21  ,164.0,172.0,125.00698817930032,--,--,75.7137339055794,--
7,00:07:47.00,00:07:44.00,1,3,20,0:07:47  ,0:07:44  ,0:07:24  ,168.0,174.0,123.07586156472259,--,--,78.81163793103448,--
8,00:07:42.00,00:07:37.00,1,7,26,0:07:42  ,0:07:37  ,0:07:20  ,164.0,170.0,127.44218924772828,--,--,79.5995623632385,--
9,00:07:24.00,00:07:24.00,1,0,10,0:07:24  ,0:07:24  ,0:06:32  ,168.0,174.0,129.45141295208433,--,--,79.56216216216217,--
10,00:08:12.00,00:08:08.00,1,26,13,0:08:12  ,0:08:08  ,0:06:29  ,162.0,172.0,121.14874780339599,--,--,80.20121951219512,--
11,00:00:01.60,--,0.01,0,0,0:03:00  ,--,0:08:16  ,164.0,164.0,326.1619990585922,--,--,--,--
Summary,01:16:08.00,01:16:05.00,10.01,194,135,0:07:36  ,0:07:36  ,0:06:00  ,166.0,176.0,127.39259871691164,--,--,76.51464215364413,1542
