Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:11.00,00:07:04.00,1,3,43,0:07:11  ,0:07:04  ,0:06:10  ,170.0,174.0,131.78708605052373,--,--,65.61826697892272,--
2,00:08:55.00,00:08:55.00,1,177,3,0:08:55  ,0:08:55  ,0:07:23  ,166.0,174.0,108.72694285465458,--,--,59.868156424581,--
3,00:11:53.00,00:11:44.00,1,262,39,0:11:53  ,0:11:44  ,0:08:10  ,158.0,174.0,85.71413172121606,--,--,60.17613636363637,--
4,00:11:33.00,00:11:32.00,1,194,92,0:11:33  ,0:11:32  ,0:08:10  ,158.0,172.0,88.18784403640268,--,--,59.11184971098266,--
5,00:10:04.00,00:10:04.00,1,95,449,0:10:04  ,0:10:04  ,0:06:07  ,158.0,186.0,101.18241045898519,--,--,60.8,--
6,00:08:10.00,00:08:05.00,1,23,102,0:08:10  ,0:08:05  ,0:06:45  ,164.0,176.0,120.15977843357237,--,--,63.65030927835052,--
7,00:08:34.00,00:08:31.00,1,59,20,0:08:34  ,0:08:31  ,0:07:23  ,168.0,172.0,111.82184309479659,--,--,72.57221135029354,--
8,00:10:39.00,00:10:36.00,1,184,13,0:10:39  ,0:10:36  ,0:08:08  ,160.0,170.0,94.44483367490096,--,--,71.0877358490566,--
9,00:12:11.00,00:12:08.00,1,295,30,0:12:11  ,0:12:08  ,0:09:17  ,158.0,172.0,83.603523826576,--,--,66.75384615384615,--
10,00:10:00.00,00:09:53.00,1,79,177,0:10:00  ,0:09:53  ,0:07:54  ,162.0,174.0,99.34197319878473,--,--,63.90522765598651,--
11,00:15:12.00,00:14:58.00,1,400,75,0:15:12  ,0:14:58  ,0:08:51  ,146.0,218.0,72.51892419882448,--,--,65.83118040089087,--
12,00:15:55.00,00:15:41.00,1,256,108,0:15:55  ,0:15:41  ,0:10:53  ,142.0,196.0,71.20448193290963,--,--,61.40126050420168,--
13,00:10:45.00,00:10:43.00,1,43,79,0:10:45  ,0:10:43  ,0:08:58  ,160.0,166.0,93.5662770825763,--,--,60.53125972006221,--
14,00:15:58.00,00:15:54.00,1,344,92,0:15:58  ,0:15:54  ,0:09:27  ,128.0,240.0,78.74510532132271,--,--,59.33773584905661,--
15,00:11:53.00,00:11:53.00,1,121,430,0:11:53  ,0:11:53  ,0:08:10  ,146.0,224.0,92.75912884898725,--,--,58.596638655462186,--
16,00:11:31.00,00:11:29.00,1,72,295,0:11:31  ,0:11:29  ,0:08:53  ,156.0,180.0,89.57697683515042,--,--,61.408708272859215,--
17,00:11:04.00,00:10:57.00,1,56,492,0:11:04  ,0:10:57  ,0:09:05  ,160.0,192.0,90.88892879256282,--,--,63.37260273972603,--
18,00:10:26.00,00:10:21.00,1,0,200,0:10:26  ,0:10:21  ,0:09:04  ,160.0,170.0,96.40614811223918,--,--,64.3768115942029,--
19,00:11:05.00,00:11:00.00,1,36,98,0:11:05  ,0:11:00  ,0:09:29  ,160.0,164.0,90.75225371167176,--,--,65.43909090909091,--
20,00:07:25.510,00:07:24.00,0.79,16,108,0:09:27  ,0:09:25  ,0:08:37  ,162.0,168.0,105.1321089048325,--,--,66.26486486486488,--
Summary,03:40:36.00,03:40:24.00,19.79,2736,2966,0:11:09  ,0:11:08  ,0:06:09  ,156.0,240.0,92.37277633091698,--,--,63.222072820667776,2855
