Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:44.00,00:09:39.00,1,184,0,0:09:44  ,0:09:39  ,0:09:06  ,166.0,174.0,99.60430552609625,--,--,77.23626943005182,--
2,00:09:39.00,00:09:28.00,1,167,16,0:09:39  ,0:09:28  ,0:08:21  ,166.0,172.0,100.4644463337482,--,--,73.49772329246935,--
3,00:10:20.00,00:10:16.00,1,269,0,0:10:20  ,0:10:16  ,0:06:35  ,164.0,170.0,94.9649861813717,--,--,70.1594155844156,--
4,00:10:35.00,00:10:33.00,1,285,0,0:10:35  ,0:10:33  ,0:09:17  ,164.0,168.0,92.72171879126056,--,--,68.0,--
5,00:10:40.00,00:10:40.00,1,299,0,0:10:40  ,0:10:40  ,0:09:20  ,164.0,172.0,91.99733036320384,--,--,68.0,--
6,00:11:01.00,00:10:54.00,1,348,0,0:11:01  ,0:10:54  ,0:09:18  ,164.0,170.0,89.07457100219433,--,--,67.92844036697247,--
7,00:07:34.00,00:07:30.00,1,3,318,0:07:34  ,0:07:30  ,0:06:35  ,162.0,174.0,131.28895136403267,--,--,64.63148558758314,--
8,00:07:23.00,00:07:21.00,1,0,272,0:07:23  ,0:07:21  ,0:06:48  ,166.0,172.0,131.306804576163,--,--,63.269387755102045,--
9,00:07:24.00,00:07:24.00,1,0,305,0:07:24  ,0:07:24  ,0:06:50  ,166.0,170.0,131.0110685298203,--,--,62.66891891891892,--
10,00:07:44.00,00:07:43.00,1,0,266,0:07:44  ,0:07:43  ,0:06:47  ,164.0,170.0,126.89286946648805,--,--,63.22980561555076,--
11,00:07:50.00,00:07:49.00,1,7,177,0:07:50  ,0:07:49  ,0:07:19  ,164.0,172.0,125.27296049457544,--,--,63.21791044776119,--
12,00:07:39.00,00:07:38.00,1,7,180,0:07:39  ,0:07:38  ,0:06:46  ,166.0,172.0,126.7296610615255,--,--,63.79868995633188,--
13,00:00:10.60,00:00:06.00,0.03,0,3,0:05:49  ,0:03:28  ,0:06:50  ,168.0,170.0,164.47742082705716,--,--,60.8,--
Summary,01:47:50.00,01:47:46.00,12.03,1585,1549,0:08:58  ,0:08:57  ,0:06:41  ,164.0,174.0,109.13934692342566,--,--,67.59047913446676,1848
