Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:08:54.00,00:08:51.00,1,108,0,0:08:54  ,0:08:51  ,0:05:46  ,166.0,172.0,108.93055136187304,--,--,69.9186440677966,--
2,00:10:37.00,00:10:28.00,1,292,39,0:10:37  ,0:10:28  ,0:07:10  ,166.0,174.0,91.31697712282609,--,--,66.45796178343949,--
3,00:09:23.00,00:09:17.00,1,151,75,0:09:23  ,0:09:17  ,0:07:27  ,164.0,172.0,104.57955849458341,--,--,64.67468581687612,--
4,00:08:10.00,00:08:05.00,1,26,125,0:08:10  ,0:08:05  ,0:07:21  ,166.0,170.0,118.7120702596739,--,--,62.6,--
5,00:09:17.00,00:09:14.00,1,121,62,0:09:17  ,0:09:14  ,0:08:01  ,166.0,172.0,104.43252141335766,--,--,61.52779783393501,--
6,00:08:33.00,00:08:32.00,1,59,125,0:08:33  ,0:08:32  ,0:06:47  ,164.0,172.0,114.77249791900674,--,--,62.666796875,--
7,00:09:00.00,00:08:54.00,1,105,33,0:09:00  ,0:08:54  ,0:08:05  ,166.0,176.0,107.72021190229668,--,--,65.4247191011236,--
8,00:07:56.00,00:07:56.00,1,95,121,0:07:56  ,0:07:56  ,0:06:23  ,168.0,174.0,120.74879695530556,--,--,64.66037735849056,--
9,00:07:49.00,00:07:47.00,1,36,322,0:07:49  ,0:07:47  ,0:06:36  ,166.0,170.0,124.02753609219661,--,--,63.71391862955032,--
10,00:07:45.00,00:07:45.00,1,10,131,0:07:45  ,0:07:45  ,0:07:08  ,166.0,170.0,125.09443962847358,--,--,56.69012875536481,--
11,00:00:01.70,--,0.01,0,0,0:03:22  ,--,0:08:08  ,164.0,164.0,290.6313967400693,--,--,--,--
Summary,01:27:28.00,01:27:28.00,10.01,1017,1047,0:08:44  ,0:08:44  ,0:05:46  ,166.0,176.0,111.09983028067052,--,--,63.97641006097561,1515
