Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:35.00,00:07:34.00,1,16,59,0:07:35  ,0:07:34  ,0:06:59  ,170.0,176.0,124.83567931379282,--,--,64.10264317180616,--
2,00:08:39.00,00:08:38.00,1,125,16,0:08:39  ,0:08:38  ,0:07:42  ,170.0,178.0,109.44168417683187,--,--,60.33088803088803,--
3,00:08:12.00,00:08:05.00,1,95,138,0:08:12  ,0:08:05  ,0:06:29  ,166.0,172.0,118.2295008683744,--,--,59.0,--
4,00:08:52.00,00:08:47.00,1,105,0,0:08:52  ,0:08:47  ,0:08:08  ,166.0,172.0,109.34006471285755,--,--,59.79240986717268,--
5,00:08:44.00,00:08:41.00,1,92,43,0:08:44  ,0:08:41  ,0:06:41  ,166.0,178.0,111.00937867793934,--,--,60.35086372360845,--
6,00:07:32.00,00:07:30.00,1,0,125,0:07:32  ,0:07:30  ,0:06:39  ,170.0,176.0,125.66423470746844,--,--,55.400000000000006,--
7,00:08:29.00,00:08:24.00,1,43,43,0:08:29  ,0:08:24  ,0:07:31  ,166.0,172.0,114.28077490616937,--,--,54.86785714285715,--
8,00:09:28.00,00:09:27.00,1,184,0,0:09:28  ,0:09:27  ,0:08:54  ,166.0,170.0,102.4100606113384,--,--,56.50476190476191,--
9,00:09:27.00,00:09:19.00,1,171,16,0:09:27  ,0:09:19  ,0:08:02  ,162.0,166.0,105.12378116273516,--,--,56.417531305903395,--
10,00:10:05.00,00:10:01.00,1,266,0,0:10:05  ,0:10:01  ,0:08:50  ,162.0,168.0,98.52096515581957,--,--,54.768053244592345,--
11,00:10:08.00,00:10:01.00,1,279,0,0:10:08  ,0:10:01  ,0:09:07  ,162.0,168.0,98.03484197248493,--,--,54.08519134775374,--
12,00:10:20.00,00:10:14.00,1,312,0,0:10:20  ,0:10:14  ,0:07:43  ,162.0,170.0,96.13739341817876,--,--,55.84560260586319,--
13,00:10:49.00,00:10:49.00,1,322,0,0:10:49  ,0:10:49  ,0:08:16  ,162.0,170.0,91.8415776876284,--,--,57.43852080123267,--
14,00:09:52.00,00:09:47.00,1,164,10,0:09:52  ,0:09:47  ,0:08:46  ,160.0,164.0,101.94298769976642,--,--,59.0,--
15,00:10:27.00,00:10:27.00,1,262,0,0:10:27  ,0:10:27  ,0:09:36  ,162.0,168.0,95.06408918543991,--,--,56.93057324840764,--
16,00:07:30.00,00:07:24.00,1,23,210,0:07:30  ,0:07:24  ,0:06:51  ,164.0,172.0,130.84064762766766,--,--,57.622818791946315,--
17,00:08:03.00,00:08:03.00,1,10,154,0:08:03  ,0:08:03  ,0:06:50  ,166.0,170.0,120.43253504604598,--,--,59.391304347826086,--
18,00:07:11.00,00:07:06.00,1,0,348,0:07:11  ,0:07:06  ,0:06:36  ,164.0,168.0,136.60856480846974,--,--,60.5,--
19,00:07:00.00,00:06:58.00,1,7,279,0:07:00  ,0:06:58  ,0:05:52  ,166.0,174.0,138.49741530295287,--,--,57.286124401913874,--
20,00:06:02.00,00:06:02.00,1,0,282,0:06:02  ,0:06:02  ,0:04:24  ,174.0,182.0,153.29967287295796,--,--,52.05359116022099,--
21,00:00:14.890,00:00:13.00,0.04,0,7,0:06:36  ,0:05:45  ,0:06:11  ,172.0,176.0,141.73707640144434,--,--,50.0,--
Summary,02:54:50.00,02:54:47.00,20.04,2500,1752,0:08:43  ,0:08:43  ,0:04:54  ,164.0,182.0,111.73075146883475,--,--,57.52465204957102,3074
