Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:42.00,00:07:35.00,1,20,56,0:07:42  ,0:07:35  ,0:06:41  ,164.0,176.0,127.44218924772828,--,--,71.87692307692308,--
2,00:07:56.00,00:07:55.00,1,62,13,0:07:56  ,0:07:55  ,0:07:08  ,164.0,172.0,123.69388956397157,--,--,66.82526315789474,--
3,00:07:47.00,00:07:46.00,1,49,13,0:07:47  ,0:07:46  ,0:07:27  ,168.0,174.0,123.07586156472259,--,--,65.43133047210301,--
4,00:08:00.00,00:07:54.00,1,49,30,0:08:00  ,0:07:54  ,0:07:05  ,166.0,176.0,121.18523839008377,--,--,66.2,--
5,00:08:04.00,00:08:04.00,1,16,62,0:08:04  ,0:08:04  ,0:07:26  ,166.0,172.0,120.18370749429796,--,--,64.52618556701032,--
6,00:08:06.00,00:08:03.00,1,23,75,0:08:06  ,0:08:03  ,0:07:08  ,164.0,172.0,121.14874780339599,--,--,62.8,--
7,00:08:39.00,00:08:36.00,1,33,36,0:08:39  ,0:08:36  ,0:04:30  ,162.0,180.0,114.84621179050258,--,--,62.6,--
8,00:02:50.940,00:02:43.00,0.34,0,13,0:08:27  ,0:08:03  ,0:06:55  ,152.0,172.0,125.20089803722362,--,--,62.6,--
Summary,00:59:09.00,00:59:02.00,7.34,262,308,0:08:03  ,0:08:02  ,0:04:30  ,164.0,180.0,121.71042554763486,--,--,65.51505769772024,1130
