Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:08:06.00,00:08:04.00,1,36,30,0:08:06  ,0:08:04  ,0:07:31  ,166.0,174.0,119.68912433588521,--,--,68.53181818181818,--
2,00:08:48.00,00:08:48.00,1,171,46,0:08:48  ,0:08:48  ,0:06:52  ,166.0,174.0,110.16839853643981,--,--,67.86389413988658,--
3,00:08:13.00,00:08:10.00,1,30,180,0:08:13  ,0:08:10  ,0:07:23  ,166.0,180.0,117.98968443659273,--,--,68.02571428571429,--
4,00:14:51.00,00:14:51.00,1,407,13,0:14:51  ,0:14:51  ,0:08:53  ,142.0,180.0,76.31905751507149,--,--,68.65858585858587,--
5,00:14:18.00,00:14:16.00,1,423,10,0:14:18  ,0:14:16  ,0:09:46  ,142.0,218.0,79.25440588103578,--,--,62.36869158878505,--
6,00:15:51.00,00:15:40.00,1,505,20,0:15:51  ,0:15:40  ,0:09:08  ,130.0,208.0,78.10434194711539,--,--,59.65872340425532,--
7,00:12:18.00,00:12:13.00,1,128,528,0:12:18  ,0:12:13  ,0:06:23  ,136.0,190.0,96.20635854975565,--,--,57.95388813096862,--
8,00:10:56.00,00:10:56.00,1,194,197,0:10:56  ,0:10:56  ,0:07:47  ,154.0,176.0,95.58164193579618,--,--,55.400000000000006,--
9,00:10:17.00,00:10:16.00,1,66,463,0:10:17  ,0:10:16  ,0:07:19  ,158.0,176.0,99.05052822889311,--,--,55.400000000000006,--
10,00:13:15.00,00:13:06.00,1,207,312,0:13:15  ,0:13:06  ,0:09:37  ,156.0,184.0,77.8587308089169,--,--,55.26946564885496,--
11,00:13:20.00,00:13:18.00,1,249,121,0:13:20  ,0:13:18  ,0:08:10  ,146.0,166.0,82.67157358665989,--,--,56.06992481203008,--
12,00:17:54.00,00:17:42.00,1,564,0,0:17:54  ,0:17:42  ,0:09:55  ,120.0,226.0,74.92271721696055,--,--,56.215254237288136,--
13,00:17:17.00,00:17:05.00,1,417,105,0:17:17  ,0:17:05  ,0:08:44  ,120.0,216.0,77.5959482073439,--,--,55.400000000000006,--
14,00:15:30.00,00:15:28.00,1,302,299,0:15:30  ,0:15:28  ,0:08:54  ,130.0,208.0,79.86798837817928,--,--,55.400000000000006,--
15,00:12:25.00,00:12:17.00,1,89,230,0:12:25  ,0:12:17  ,0:09:11  ,138.0,218.0,93.92121189497009,--,--,55.16553595658073,--
16,00:12:39.00,00:12:35.00,1,115,594,0:12:39  ,0:12:35  ,0:08:20  ,148.0,204.0,85.95983152549474,--,--,55.1758940397351,--
17,00:13:01.00,00:13:00.00,1,89,499,0:13:01  ,0:13:00  ,0:08:02  ,150.0,196.0,82.42458211627721,--,--,55.92153846153846,--
18,00:15:37.00,00:15:37.00,1,151,302,0:15:37  ,0:15:37  ,0:09:01  ,126.0,186.0,81.7878724307726,--,--,58.238977635782746,--
19,00:17:14.00,00:17:07.00,1,440,3,0:17:14  ,0:17:07  ,0:09:01  ,124.0,222.0,75.3107240509911,--,--,59.539824732229796,--
20,00:20:08.00,00:20:06.00,1,528,3,0:20:08  ,0:20:06  ,0:10:24  ,110.0,182.0,72.66736751145301,--,--,59.0,--
21,00:13:31.00,00:13:31.00,1,207,167,0:13:31  ,0:13:31  ,0:08:57  ,136.0,216.0,87.5466000119848,--,--,57.73866995073892,--
22,00:12:04.00,00:12:04.00,1,85,210,0:12:04  ,0:12:04  ,0:08:57  ,146.0,246.0,91.34980506813247,--,--,57.2621546961326,--
23,00:12:43.00,00:12:43.00,1,23,545,0:12:43  ,0:12:43  ,0:09:19  ,154.0,176.0,82.17766331570421,--,--,57.2,--
24,00:12:31.00,00:12:28.00,1,85,187,0:12:31  ,0:12:28  ,0:08:56  ,150.0,166.0,85.71717527671439,--,--,58.60053475935829,--
25,00:09:20.00,00:09:19.00,1,0,328,0:09:20  ,0:09:19  ,0:08:23  ,158.0,168.0,109.13245699504832,--,--,57.7087656529517,--
26,00:03:41.300,00:03:40.00,0.44,0,98,0:08:21  ,0:08:18  ,0:07:19  ,158.0,168.0,121.98401596678856,--,--,59.0,--
Summary,05:36:00.00,05:35:49.00,25.45,5545,5525,0:13:12  ,0:13:12  ,0:06:38  ,140.0,246.0,86.2130204003545,--,--,58.60789604205932,3409
