Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:33.00,00:07:33.00,1,92,10,0:07:33  ,0:07:33  ,0:07:08  ,172.0,178.0,123.92884381798189,--,--,76.76953642384106,--
2,00:07:48.00,00:07:41.00,1,102,20,0:07:48  ,0:07:41  ,0:06:54  ,168.0,174.0,122.81287895454153,--,--,71.7695931477516,--
3,00:07:52.00,00:07:51.00,1,75,95,0:07:52  ,0:07:51  ,0:06:32  ,164.0,170.0,124.74214286536113,--,--,69.80000000000001,--
4,00:08:08.00,00:08:07.00,1,128,118,0:08:08  ,0:08:07  ,0:07:14  ,166.0,174.0,119.1985951377873,--,--,69.35277207392198,--
5,00:08:00.00,00:07:56.00,1,105,138,0:08:00  ,0:07:56  ,0:06:50  ,164.0,174.0,122.66310715093844,--,--,70.70756302521008,--
6,00:08:33.00,00:08:28.00,1,66,59,0:08:33  ,0:08:28  ,0:07:10  ,168.0,176.0,112.03981939712561,--,--,71.19251968503937,--
7,00:08:12.00,00:08:06.00,1,62,108,0:08:12  ,0:08:06  ,0:07:17  ,168.0,176.0,116.82200681041759,--,--,70.07037037037037,--
8,00:08:11.00,00:08:11.00,1,69,49,0:08:11  ,0:08:11  ,0:07:20  ,166.0,172.0,118.47029414916538,--,--,68.92016293279022,--
9,00:07:56.00,00:07:55.00,1,23,13,0:07:56  ,0:07:55  ,0:07:26  ,168.0,174.0,120.74879695530556,--,--,71.672,--
10,00:07:31.00,00:07:31.00,1,43,112,0:07:31  ,0:07:31  ,0:06:51  ,166.0,172.0,128.9776373109539,--,--,69.16283185840709,--
11,00:00:01.60,--,0.01,0,0,0:03:08  ,--,0:08:06  ,172.0,172.0,297.16981857475,--,--,--,--
Summary,01:19:50.00,01:19:46.00,10.01,778,738,0:07:58  ,0:07:58  ,0:06:32  ,168.0,178.0,120.92299820622381,--,--,70.90546744574291,1532
