Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:09:05.00,00:08:57.00,1,112,0,0:09:05  ,0:08:57  ,0:05:53  ,162.0,168.0,109.3673099436162,--,--,80.7173184357542,--
2,00:10:53.00,00:10:50.00,1,276,30,0:10:53  ,0:10:50  ,0:07:54  ,158.0,162.0,93.58985592224664,--,--,82.48030769230769,--
3,00:10:29.00,00:10:29.00,1,174,95,0:10:29  ,0:10:29  ,0:08:56  ,158.0,164.0,97.1608520146694,--,--,80.00190779014308,--
4,00:11:12.00,00:11:10.00,1,105,233,0:11:12  ,0:11:10  ,0:07:49  ,154.0,162.0,93.30588855637248,--,--,86.56955223880597,--
5,00:15:50.00,00:15:48.00,1,151,180,0:15:50  ,0:15:48  ,0:10:52  ,142.0,244.0,71.57924236413547,--,--,81.96708860759495,--
6,00:12:55.00,00:12:55.00,1,190,33,0:12:55  ,0:12:55  ,0:10:14  ,154.0,162.0,80.90523498049329,--,--,79.75690322580645,--
7,00:09:29.00,00:09:25.00,1,75,200,0:09:29  ,0:09:25  ,0:07:06  ,158.0,164.0,107.40628456454668,--,--,80.48611599297013,--
8,00:08:41.00,00:08:41.00,1,30,249,0:08:41  ,0:08:41  ,0:07:11  ,160.0,168.0,115.83541020779602,--,--,77.72758620689655,--
9,00:07:28.20,00:07:25.00,0.84,0,79,0:08:54  ,0:08:50  ,0:08:09  ,160.0,166.0,113.00388284797222,--,--,77.6067415730337,--
Summary,01:36:06.00,01:36:03.00,8.84,1122,1109,0:10:52  ,0:10:52  ,0:05:53  ,154.0,244.0,94.98914516966961,--,--,81.06193861626495,1270
